loan_id,customer_id,product_type,plafond,tenor_months,interest_rate,disbursed_at,status,dpd,is_default,outstanding,updated_at
LOAN0000026,CUST004416,Tunaiku Mikro,10000000,36,23.48,2025-03-01,LANCAR,0,0,8018679,2025-09-06 00:00:00
LOAN0000027,CUST000834,Tunaiku KTA,2000000,24,22.09,2024-10-17,LANCAR,0,0,1718420,2024-12-19 00:00:00
LOAN0000028,CUST000236,Tunaiku KTA,10000000,18,27.51,2025-02-08,LANCAR,0,0,5680385,2025-04-22 00:00:00
LOAN0000029,CUST002922,SMB Modal Usaha,2000000,6,15.6,2023-05-23,LANCAR,0,0,211522,2023-07-23 00:00:00
LOAN0000030,CUST003540,SMB Invoice Financing,100000000,6,25.34,2022-10-25,LANCAR,0,0,57958592,2023-10-30 00:00:00
LOAN0000031,CUST001506,Tunaiku KTA,50000000,3,34.58,2023-02-23,DPD30,35,1,47075964,2024-01-20 00:00:00
LOAN0000032,CUST002403,Tunaiku KTA,100000000,12,20.87,2022-02-13,DPD30,35,1,23989705,2022-04-07 00:00:00
LOAN0000033,CUST000809,Tunaiku Mikro,2000000,6,32.1,2025-05-30,LANCAR,0,0,1699938,2025-10-30 00:00:00
LOAN0000034,CUST002412,SMB Modal Usaha,5000000,12,35.13,2024-12-04,LANCAR,0,0,1282215,2025-08-03 00:00:00
LOAN0000035,CUST000297,Tunaiku Mikro,5000000,6,32.35,2025-06-25,LANCAR,0,0,684472,2025-10-14 00:00:00
LOAN0000036,CUST000814,SMB Modal Usaha,2000000,12,13.25,2023-06-05,LANCAR,0,0,600336,2023-06-19 00:00:00
LOAN0000037,CUST004073,SMB Invoice Financing,50000000,3,27.7,2024-07-28,LANCAR,0,0,31444667,2024-11-08 00:00:00
LOAN0000038,CUST002356,Tunaiku Mikro,25000000,6,16.44,2025-10-04,LANCAR,0,0,6257485,2026-02-25 00:00:00
LOAN0000039,CUST000129,SMB Modal Usaha,2000000,12,12.38,2022-12-25,DPD60,65,1,1263788,2023-10-30 00:00:00
LOAN0000040,CUST002537,SMB Invoice Financing,2000000,18,27.3,2024-05-19,LUNAS,0,0,0,2024-08-16 00:00:00
LOAN0000041,CUST002927,Tunaiku KTA,25000000,24,27.23,2025-07-03,LUNAS,0,0,0,2026-03-20 00:00:00
LOAN0000042,CUST003570,SMB Invoice Financing,50000000,18,12.42,2025-12-14,LANCAR,0,0,40654545,2026-01-23 00:00:00
LOAN0000043,CUST002743,Tunaiku KTA,5000000,12,32.3,2022-11-01,LANCAR,0,0,1520397,2023-01-16 00:00:00
LOAN0000044,CUST000085,Tunaiku KTA,2000000,3,15.41,2025-02-27,LANCAR,0,0,1472260,2026-03-25 00:00:00
LOAN0000045,CUST003535,Tunaiku Mikro,10000000,3,13.72,2023-01-31,LANCAR,0,0,3052849,2023-04-05 00:00:00
LOAN0000046,CUST002763,Tunaiku KTA,2000000,36,34.19,2022-05-31,LUNAS,0,0,0,2023-04-19 00:00:00
LOAN0000047,CUST001316,SMB Modal Usaha,5000000,36,30.94,2025-02-10,LANCAR,0,0,3711553,2025-08-04 00:00:00
LOAN0000048,CUST001538,Tunaiku KTA,50000000,3,12.84,2025-12-10,LANCAR,0,0,47889302,2026-11-09 00:00:00
LOAN0000049,CUST004626,Tunaiku KTA,2000000,6,31.3,2022-03-10,LANCAR,0,0,1686899,2023-01-22 00:00:00
LOAN0000050,CUST002903,Tunaiku Mikro,5000000,6,25.77,2022-12-06,LANCAR,0,0,3209090,2023-11-21 00:00:00
LOAN0000051,CUST004246,Tunaiku KTA,10000000,6,24.74,2023-06-14,LANCAR,0,0,4186744,2024-01-07 00:00:00
LOAN0000052,CUST003084,SMB Modal Usaha,5000000,24,31.85,2025-01-27,WRITE_OFF,120,1,1528199,2026-02-23 00:00:00
LOAN0000053,CUST003635,SMB Invoice Financing,25000000,12,15.26,2022-05-26,LANCAR,0,0,4820105,2023-06-20 00:00:00
LOAN0000054,CUST004075,Tunaiku KTA,10000000,6,30.14,2023-11-08,DPD30,35,1,9887447,2024-06-07 00:00:00
LOAN0000055,CUST003058,Tunaiku KTA,25000000,12,12.35,2022-12-31,DPD30,35,1,13264427,2023-05-10 00:00:00
LOAN0000056,CUST001159,Tunaiku Mikro,50000000,3,24.44,2024-01-19,LANCAR,0,0,18124614,2024-12-05 00:00:00
LOAN0000057,CUST003635,SMB Invoice Financing,50000000,36,34.77,2025-07-15,LUNAS,0,0,0,2026-08-10 00:00:00
LOAN0000058,CUST002537,SMB Invoice Financing,2000000,6,32.52,2023-03-18,DPD90,95,1,1720691,2023-10-13 00:00:00
LOAN0000059,CUST004082,Tunaiku Mikro,5000000,24,20.93,2026-04-20,WRITE_OFF,120,1,3000874,2027-05-05 00:00:00
LOAN0000060,CUST001964,Tunaiku KTA,5000000,12,24.93,2022-07-19,LANCAR,0,0,936247,2023-02-18 00:00:00
LOAN0000061,CUST004981,Tunaiku Mikro,2000000,24,33.32,2025-04-10,LANCAR,0,0,627886,2025-07-20 00:00:00
LOAN0000062,CUST001626,Tunaiku KTA,5000000,3,22.71,2026-04-24,WRITE_OFF,120,1,2716198,2026-06-13 00:00:00
LOAN0000063,CUST004285,Tunaiku KTA,100000000,3,29.82,2025-10-23,DPD30,35,1,88665598,2026-03-19 00:00:00
LOAN0000064,CUST003275,Tunaiku Mikro,50000000,3,23.95,2023-05-29,LANCAR,0,0,43246127,2024-04-30 00:00:00
LOAN0000065,CUST004052,Tunaiku KTA,10000000,6,29.9,2024-07-10,LANCAR,0,0,8910557,2025-04-11 00:00:00
LOAN0000066,CUST001350,Tunaiku KTA,5000000,3,14.63,2024-10-19,LUNAS,0,0,0,2025-06-13 00:00:00
LOAN0000067,CUST000816,SMB Invoice Financing,2000000,12,14.84,2023-04-26,DPD60,65,1,781353,2024-02-07 00:00:00
LOAN0000068,CUST004635,Tunaiku KTA,10000000,18,29.59,2025-06-21,LANCAR,0,0,3316199,2025-09-19 00:00:00
LOAN0000069,CUST001153,SMB Modal Usaha,2000000,6,15.11,2024-12-14,LANCAR,0,0,1814593,2025-11-04 00:00:00
LOAN0000070,CUST002897,SMB Modal Usaha,2000000,12,23.93,2022-10-10,DPD60,65,1,240558,2023-04-07 00:00:00
LOAN0000071,CUST000457,Tunaiku KTA,5000000,6,12.61,2023-02-06,LANCAR,0,0,4721779,2023-11-02 00:00:00
LOAN0000072,CUST002616,Tunaiku Mikro,25000000,36,15.85,2022-09-08,LUNAS,0,0,0,2023-09-03 00:00:00
LOAN0000073,CUST001018,Tunaiku KTA,5000000,36,26.4,2025-03-05,LANCAR,0,0,2804504,2025-05-27 00:00:00
LOAN0000074,CUST001343,Tunaiku Mikro,2000000,12,32.52,2024-07-05,LANCAR,0,0,492286,2025-02-14 00:00:00
LOAN0000075,CUST004980,Tunaiku Mikro,25000000,36,17.28,2025-05-13,LUNAS,0,0,0,2025-11-10 00:00:00
LOAN0000076,CUST003080,Tunaiku KTA,25000000,6,25.47,2024-03-29,LANCAR,0,0,19336232,2025-01-27 00:00:00
LOAN0000077,CUST004497,Tunaiku Mikro,5000000,36,19.84,2025-11-26,LUNAS,0,0,0,2026-01-31 00:00:00
LOAN0000078,CUST002817,Tunaiku KTA,10000000,6,28.83,2023-03-21,LANCAR,0,0,4828717,2023-11-21 00:00:00
LOAN0000079,CUST004164,SMB Modal Usaha,2000000,36,17.31,2023-08-19,LUNAS,0,0,0,2024-05-12 00:00:00
LOAN0000080,CUST003820,Tunaiku Mikro,10000000,6,33.15,2022-03-19,LUNAS,0,0,0,2022-11-05 00:00:00
LOAN0000081,CUST003620,SMB Invoice Financing,2000000,6,16.58,2023-07-24,LUNAS,0,0,0,2024-06-13 00:00:00
LOAN0000082,CUST003875,SMB Invoice Financing,25000000,12,27.87,2025-09-22,LANCAR,0,0,20530458,2026-05-02 00:00:00
LOAN0000083,CUST003994,Tunaiku KTA,5000000,6,18.27,2022-08-31,LANCAR,0,0,4389862,2022-10-31 00:00:00
LOAN0000084,CUST000619,Tunaiku KTA,2000000,6,15.61,2025-10-13,DPD90,95,1,1187373,2026-08-21 00:00:00
LOAN0000085,CUST003960,Tunaiku KTA,5000000,12,12.15,2025-06-18,LUNAS,0,0,0,2025-10-03 00:00:00
LOAN0000086,CUST002184,Tunaiku KTA,2000000,18,28.28,2022-12-30,LUNAS,0,0,0,2023-10-25 00:00:00
LOAN0000087,CUST004272,Tunaiku Mikro,50000000,24,35.45,2026-03-14,LANCAR,0,0,33210736,2027-02-17 00:00:00
LOAN0000088,CUST001585,Tunaiku KTA,2000000,24,33.07,2022-03-26,LANCAR,0,0,1918442,2022-04-10 00:00:00
LOAN0000089,CUST003813,Tunaiku Mikro,5000000,12,34.37,2024-06-15,DPD60,65,1,2481914,2024-12-24 00:00:00
LOAN0000090,CUST001676,Tunaiku Mikro,2000000,6,31.86,2023-03-07,LUNAS,0,0,0,2024-02-26 00:00:00
LOAN0000091,CUST004593,Tunaiku Mikro,2000000,24,17.02,2024-05-31,LANCAR,0,0,219544,2025-05-06 00:00:00
LOAN0000092,CUST004728,Tunaiku KTA,2000000,24,17.8,2022-05-10,LANCAR,0,0,621888,2023-03-29 00:00:00
LOAN0000093,CUST003494,Tunaiku Mikro,100000000,24,21.4,2023-02-25,DPD60,65,1,82996917,2024-02-05 00:00:00
LOAN0000094,CUST001796,Tunaiku KTA,10000000,6,18.61,2025-06-22,DPD30,35,1,3633716,2025-11-10 00:00:00
LOAN0000095,CUST000245,Tunaiku Mikro,25000000,6,19.86,2022-01-22,LUNAS,0,0,0,2022-10-01 00:00:00
LOAN0000096,CUST004083,Tunaiku KTA,100000000,18,15.68,2022-09-19,LUNAS,0,0,0,2023-08-09 00:00:00
LOAN0000097,CUST003232,Tunaiku Mikro,100000000,3,28.43,2023-02-11,DPD30,35,1,56964237,2023-09-11 00:00:00
LOAN0000098,CUST000393,Tunaiku KTA,100000000,12,20.19,2025-11-03,LANCAR,0,0,46828480,2026-09-02 00:00:00
LOAN0000099,CUST000010,SMB Invoice Financing,2000000,6,14.52,2022-10-30,LANCAR,0,0,1576756,2023-02-11 00:00:00
LOAN0000100,CUST000578,Tunaiku Mikro,50000000,24,35.11,2022-02-19,LUNAS,0,0,0,2022-04-08 00:00:00
LOAN0000101,CUST004052,Tunaiku Mikro,5000000,6,24.65,2023-09-29,DPD60,65,1,3681746,2024-08-26 00:00:00
LOAN0000102,CUST004211,Tunaiku Mikro,10000000,12,20.11,2023-11-21,LANCAR,0,0,3146906,2024-03-08 00:00:00
LOAN0000103,CUST003944,Tunaiku KTA,2000000,18,32.67,2025-11-02,LUNAS,0,0,0,2025-11-05 00:00:00
LOAN0000104,CUST003396,Tunaiku Mikro,10000000,6,12.66,2025-05-11,LANCAR,0,0,7961459,2026-04-14 00:00:00
LOAN0000105,CUST002291,Tunaiku KTA,50000000,12,21.67,2025-07-02,LUNAS,0,0,0,2025-10-14 00:00:00
LOAN0000106,CUST000555,Tunaiku KTA,2000000,36,12.69,2024-10-10,LANCAR,0,0,1393666,2025-04-28 00:00:00
LOAN0000107,CUST001935,Tunaiku KTA,5000000,6,25.5,2025-05-04,LUNAS,0,0,0,2025-12-23 00:00:00
LOAN0000108,CUST003051,Tunaiku Mikro,25000000,24,23.92,2022-04-22,LANCAR,0,0,18948425,2022-10-22 00:00:00
LOAN0000109,CUST003839,Tunaiku KTA,2000000,6,33.64,2026-04-16,LANCAR,0,0,558805,2027-04-02 00:00:00
LOAN0000110,CUST001031,SMB Modal Usaha,2000000,6,35.96,2025-11-22,LANCAR,0,0,596738,2026-04-25 00:00:00
LOAN0000111,CUST000121,Tunaiku Mikro,2000000,12,25.46,2025-10-16,LANCAR,0,0,1488918,2025-11-16 00:00:00
LOAN0000112,CUST004186,Tunaiku KTA,2000000,3,12.75,2026-01-07,LUNAS,0,0,0,2026-08-02 00:00:00
LOAN0000113,CUST002284,Tunaiku Mikro,2000000,6,15.21,2024-11-15,LANCAR,0,0,1090910,2025-09-19 00:00:00
LOAN0000114,CUST001523,SMB Invoice Financing,2000000,3,33.98,2022-11-14,LANCAR,0,0,599370,2023-12-07 00:00:00
LOAN0000115,CUST000299,SMB Modal Usaha,2000000,3,23.37,2025-01-02,LANCAR,0,0,1848015,2025-08-13 00:00:00
LOAN0000116,CUST000124,SMB Invoice Financing,10000000,3,29.72,2022-06-26,LANCAR,0,0,8915862,2023-04-01 00:00:00
LOAN0000117,CUST001347,Tunaiku Mikro,10000000,36,15.83,2025-11-04,LANCAR,0,0,6790723,2025-12-20 00:00:00
LOAN0000118,CUST002913,Tunaiku Mikro,50000000,24,24.16,2025-08-31,LANCAR,0,0,10280383,2026-07-03 00:00:00
LOAN0000119,CUST001918,Tunaiku Mikro,10000000,12,13.16,2023-12-11,DPD60,65,1,3997258,2024-06-05 00:00:00
LOAN0000120,CUST001904,Tunaiku KTA,2000000,3,13.71,2023-03-01,LANCAR,0,0,1297095,2023-11-24 00:00:00
LOAN0000121,CUST002965,Tunaiku Mikro,50000000,6,19.8,2022-12-13,DPD30,35,1,38367339,2023-07-11 00:00:00
LOAN0000122,CUST000524,Tunaiku KTA,5000000,12,30.98,2022-06-07,LANCAR,0,0,1880367,2022-07-17 00:00:00
LOAN0000123,CUST000981,Tunaiku KTA,10000000,3,22.61,2026-01-17,LANCAR,0,0,5956897,2026-11-17 00:00:00
LOAN0000124,CUST002205,Tunaiku Mikro,5000000,18,30.17,2026-02-16,LANCAR,0,0,2985161,2027-02-16 00:00:00
LOAN0000125,CUST001537,Tunaiku Mikro,10000000,36,27.06,2023-01-14,LANCAR,0,0,6784275,2024-02-01 00:00:00
LOAN0000126,CUST002685,Tunaiku KTA,10000000,12,19.27,2023-07-20,DPD30,35,1,5643180,2023-10-02 00:00:00
LOAN0000127,CUST002667,SMB Invoice Financing,5000000,3,22.21,2022-11-27,LANCAR,0,0,715126,2023-02-19 00:00:00
LOAN0000128,CUST000468,SMB Modal Usaha,10000000,24,15.11,2024-02-09,LANCAR,0,0,7139639,2024-12-20 00:00:00
LOAN0000129,CUST004807,Tunaiku Mikro,2000000,6,19.32,2024-04-24,LUNAS,0,0,0,2024-09-12 00:00:00
LOAN0000130,CUST001392,Tunaiku Mikro,10000000,6,19.93,2025-11-17,LUNAS,0,0,0,2025-11-20 00:00:00
LOAN0000131,CUST003500,Tunaiku KTA,50000000,6,27.0,2023-12-17,LANCAR,0,0,41902027,2024-02-17 00:00:00
LOAN0000132,CUST000893,Tunaiku Mikro,5000000,6,23.15,2023-01-31,LUNAS,0,0,0,2023-12-15 00:00:00
LOAN0000133,CUST003483,Tunaiku Mikro,2000000,3,26.4,2023-06-19,WRITE_OFF,120,1,883761,2024-07-07 00:00:00
LOAN0000134,CUST000936,Tunaiku Mikro,2000000,3,20.0,2025-09-07,LANCAR,0,0,257160,2026-08-13 00:00:00
LOAN0000135,CUST003999,SMB Invoice Financing,2000000,24,25.99,2024-08-15,LUNAS,0,0,0,2025-04-19 00:00:00
LOAN0000136,CUST000639,Tunaiku Mikro,50000000,24,25.66,2025-05-02,DPD30,35,1,23508383,2025-06-20 00:00:00
LOAN0000137,CUST001750,Tunaiku KTA,10000000,24,22.41,2022-01-06,DPD30,35,1,5918835,2022-03-13 00:00:00
LOAN0000138,CUST001065,SMB Invoice Financing,2000000,12,18.98,2024-11-15,LUNAS,0,0,0,2025-05-26 00:00:00
LOAN0000139,CUST001909,Tunaiku KTA,5000000,36,13.47,2024-09-17,DPD90,95,1,2780286,2024-10-27 00:00:00
LOAN0000140,CUST002724,Tunaiku Mikro,25000000,24,24.52,2026-04-25,LUNAS,0,0,0,2027-01-15 00:00:00
LOAN0000141,CUST004804,Tunaiku Mikro,5000000,24,35.29,2022-02-26,LUNAS,0,0,0,2022-05-14 00:00:00
LOAN0000142,CUST001339,Tunaiku Mikro,10000000,3,31.17,2024-05-05,LANCAR,0,0,1312445,2024-06-30 00:00:00
LOAN0000143,CUST000848,Tunaiku Mikro,50000000,36,16.19,2023-03-21,LUNAS,0,0,0,2023-07-09 00:00:00
LOAN0000144,CUST004979,SMB Modal Usaha,5000000,12,28.94,2024-08-22,LANCAR,0,0,3295437,2024-10-10 00:00:00
LOAN0000145,CUST003364,Tunaiku KTA,25000000,36,19.47,2022-02-19,LUNAS,0,0,0,2022-05-11 00:00:00
LOAN0000146,CUST002809,Tunaiku Mikro,2000000,3,12.88,2022-05-26,LUNAS,0,0,0,2022-07-10 00:00:00
LOAN0000147,CUST001001,Tunaiku KTA,2000000,36,17.14,2023-03-23,LANCAR,0,0,1057598,2024-01-16 00:00:00
LOAN0000148,CUST000624,Tunaiku KTA,2000000,36,12.66,2022-07-09,LUNAS,0,0,0,2023-05-26 00:00:00
LOAN0000149,CUST001282,Tunaiku KTA,100000000,6,31.02,2024-05-10,LANCAR,0,0,88468672,2024-11-18 00:00:00
LOAN0000150,CUST001354,Tunaiku KTA,2000000,6,12.71,2024-09-13,LUNAS,0,0,0,2024-12-04 00:00:00
LOAN0000151,CUST001979,Tunaiku KTA,5000000,6,29.48,2025-01-10,LUNAS,0,0,0,2025-02-03 00:00:00
LOAN0000152,CUST004518,Tunaiku KTA,2000000,6,25.26,2023-01-01,LANCAR,0,0,603515,2023-02-26 00:00:00
LOAN0000153,CUST001979,Tunaiku KTA,5000000,24,26.33,2025-10-29,LANCAR,0,0,1908772,2025-12-07 00:00:00
LOAN0000154,CUST001094,Tunaiku Mikro,2000000,12,16.81,2025-08-11,DPD60,65,1,540511,2025-12-27 00:00:00
LOAN0000155,CUST004810,Tunaiku Mikro,2000000,6,31.16,2025-06-20,LANCAR,0,0,596857,2026-03-13 00:00:00
LOAN0000156,CUST004267,Tunaiku KTA,10000000,24,19.77,2023-06-09,LANCAR,0,0,9909478,2023-10-10 00:00:00
LOAN0000157,CUST002689,Tunaiku KTA,10000000,12,20.97,2023-02-08,LANCAR,0,0,2186994,2023-09-25 00:00:00
LOAN0000158,CUST004793,Tunaiku Mikro,25000000,36,30.56,2025-01-09,LANCAR,0,0,8519269,2025-12-24 00:00:00
LOAN0000159,CUST001338,Tunaiku Mikro,50000000,36,22.84,2026-01-16,LUNAS,0,0,0,2026-07-26 00:00:00
LOAN0000160,CUST003362,Tunaiku KTA,10000000,6,17.11,2022-01-27,LUNAS,0,0,0,2022-03-17 00:00:00
LOAN0000161,CUST002748,Tunaiku Mikro,10000000,6,35.47,2024-08-09,LANCAR,0,0,6359495,2025-01-14 00:00:00
LOAN0000162,CUST003304,Tunaiku KTA,100000000,6,25.79,2024-02-16,DPD90,95,1,77865151,2024-10-14 00:00:00
LOAN0000163,CUST003951,Tunaiku Mikro,10000000,12,18.81,2024-09-29,LUNAS,0,0,0,2025-01-29 00:00:00
LOAN0000164,CUST001466,Tunaiku Mikro,10000000,24,25.11,2024-05-19,LANCAR,0,0,5552059,2025-01-23 00:00:00
LOAN0000165,CUST000732,SMB Modal Usaha,2000000,3,20.55,2024-11-18,LUNAS,0,0,0,2025-04-12 00:00:00
LOAN0000166,CUST002820,Tunaiku Mikro,50000000,12,20.4,2025-06-15,LANCAR,0,0,30300691,2025-12-12 00:00:00
LOAN0000167,CUST003210,Tunaiku Mikro,10000000,3,24.02,2023-08-26,LANCAR,0,0,3652249,2024-02-23 00:00:00
LOAN0000168,CUST003952,Tunaiku Mikro,5000000,3,35.44,2023-05-20,LANCAR,0,0,3063254,2024-05-26 00:00:00
LOAN0000169,CUST003824,Tunaiku Mikro,2000000,18,14.98,2023-10-10,LANCAR,0,0,477136,2024-09-24 00:00:00
LOAN0000170,CUST002484,Tunaiku Mikro,100000000,6,16.23,2023-10-06,LANCAR,0,0,60362025,2024-03-28 00:00:00
LOAN0000171,CUST003124,Tunaiku KTA,25000000,6,24.69,2023-01-24,LANCAR,0,0,10936856,2023-11-17 00:00:00
LOAN0000172,CUST000948,Tunaiku KTA,10000000,12,27.56,2023-10-18,DPD60,65,1,3668167,2024-11-11 00:00:00
LOAN0000173,CUST000847,SMB Modal Usaha,5000000,12,24.36,2023-04-12,LANCAR,0,0,1670339,2023-04-24 00:00:00
LOAN0000174,CUST001296,Tunaiku Mikro,5000000,3,19.61,2025-01-15,LANCAR,0,0,2812817,2025-05-10 00:00:00
LOAN0000175,CUST003308,Tunaiku KTA,5000000,36,20.58,2026-01-10,LANCAR,0,0,1716177,2026-04-13 00:00:00
LOAN0000176,CUST003845,Tunaiku KTA,5000000,12,29.25,2024-12-10,LANCAR,0,0,2818272,2025-04-11 00:00:00
LOAN0000177,CUST004563,Tunaiku Mikro,5000000,12,22.2,2022-06-25,LUNAS,0,0,0,2022-12-10 00:00:00
LOAN0000178,CUST004823,Tunaiku KTA,5000000,12,18.29,2024-10-20,LANCAR,0,0,3922872,2025-05-08 00:00:00
LOAN0000179,CUST004445,Tunaiku Mikro,5000000,12,31.75,2022-06-27,LANCAR,0,0,2489322,2022-12-07 00:00:00
LOAN0000180,CUST003018,Tunaiku KTA,2000000,36,26.25,2024-01-18,LUNAS,0,0,0,2025-01-12 00:00:00
LOAN0000181,CUST001808,Tunaiku Mikro,25000000,6,23.52,2023-01-08,LANCAR,0,0,15892968,2023-09-15 00:00:00
LOAN0000182,CUST003555,SMB Modal Usaha,2000000,24,30.43,2022-01-31,LANCAR,0,0,1355424,2023-03-01 00:00:00
LOAN0000183,CUST001285,Tunaiku KTA,2000000,3,24.51,2023-02-02,LANCAR,0,0,210832,2023-12-12 00:00:00
LOAN0000184,CUST003865,Tunaiku KTA,25000000,12,29.84,2022-07-12,LANCAR,0,0,7206962,2022-09-07 00:00:00
LOAN0000185,CUST001007,Tunaiku KTA,2000000,3,26.15,2025-08-07,LANCAR,0,0,1748157,2026-06-13 00:00:00
LOAN0000186,CUST003210,Tunaiku Mikro,2000000,6,31.69,2022-05-06,LANCAR,0,0,563294,2023-01-17 00:00:00
LOAN0000187,CUST000420,Tunaiku KTA,5000000,18,24.53,2024-10-04,LANCAR,0,0,1640812,2025-10-28 00:00:00
LOAN0000188,CUST003717,Tunaiku Mikro,100000000,24,16.41,2025-05-18,LANCAR,0,0,97930447,2026-02-09 00:00:00
LOAN0000189,CUST003220,Tunaiku Mikro,5000000,18,31.37,2023-12-28,LANCAR,0,0,2387980,2024-10-03 00:00:00
LOAN0000190,CUST003082,Tunaiku KTA,10000000,36,28.04,2025-10-08,DPD90,95,1,5752405,2026-04-08 00:00:00
LOAN0000191,CUST000868,Tunaiku KTA,2000000,12,13.5,2023-07-04,LUNAS,0,0,0,2023-12-13 00:00:00
LOAN0000192,CUST004373,Tunaiku Mikro,10000000,12,34.06,2022-01-30,LANCAR,0,0,6865723,2022-12-16 00:00:00
LOAN0000193,CUST004581,Tunaiku KTA,50000000,6,34.65,2024-06-02,LANCAR,0,0,35936681,2024-06-24 00:00:00
LOAN0000194,CUST001853,Tunaiku Mikro,5000000,36,29.86,2026-01-14,LANCAR,0,0,1897036,2026-04-30 00:00:00
LOAN0000195,CUST002183,Tunaiku Mikro,2000000,24,17.85,2025-05-01,LANCAR,0,0,551611,2026-02-01 00:00:00
LOAN0000196,CUST000738,Tunaiku Mikro,25000000,36,33.09,2024-07-19,LANCAR,0,0,10441903,2025-01-12 00:00:00
LOAN0000197,CUST002506,Tunaiku KTA,5000000,18,35.15,2022-09-28,LANCAR,0,0,1344168,2023-09-30 00:00:00
LOAN0000198,CUST004656,Tunaiku KTA,5000000,18,23.85,2026-01-14,LUNAS,0,0,0,2026-04-27 00:00:00
LOAN0000199,CUST001817,Tunaiku Mikro,25000000,3,32.47,2024-05-08,LANCAR,0,0,16739122,2025-01-27 00:00:00
LOAN0000200,CUST001741,SMB Invoice Financing,2000000,6,28.6,2024-12-05,LUNAS,0,0,0,2025-12-05 00:00:00
LOAN0000201,CUST003097,Tunaiku KTA,5000000,6,34.5,2025-10-08,LANCAR,0,0,4180295,2025-11-23 00:00:00
LOAN0000202,CUST000067,Tunaiku KTA,10000000,24,20.95,2025-11-26,LUNAS,0,0,0,2026-02-01 00:00:00
LOAN0000203,CUST004569,SMB Modal Usaha,2000000,24,21.26,2025-09-12,LUNAS,0,0,0,2026-08-08 00:00:00
LOAN0000204,CUST000534,Tunaiku KTA,5000000,36,13.22,2022-06-29,LUNAS,0,0,0,2023-05-15 00:00:00
