txn_id,account_id,txn_type,channel,amount,txn_ts
TXN000000024,ACC0005467,INTEREST,MOBILE_APP,202873,2025-11-15 13:31:57
TXN000000025,ACC0003060,TRANSFER,QRIS,277483,2025-02-12 20:57:23
TXN000000026,ACC0003631,TRANSFER,MOBILE_APP,742812,2025-12-14 10:43:10
TXN000000027,ACC0001249,TRANSFER,VA,1135271,2025-02-14 09:59:52
TXN000000028,ACC0003824,TOPUP,QRIS,259060,2025-02-13 03:00:24
TXN000000029,ACC0003377,TRANSFER,MOBILE_APP,178329,2026-03-20 08:29:42
TXN000000030,ACC0003182,TRANSFER,MOBILE_APP,49888,2026-04-23 17:54:21
TXN000000031,ACC0001542,TRANSFER,MOBILE_APP,208403,2026-01-27 15:28:04
TXN000000032,ACC0001760,TRANSFER,MOBILE_APP,1220942,2026-04-26 00:39:20
TXN000000033,ACC0003233,INTEREST,INTERNET_BANKING,270836,2025-10-30 12:13:59
TXN000000034,ACC0005997,TRANSFER,MOBILE_APP,194759,2025-08-04 14:59:22
TXN000000035,ACC0003891,WITHDRAWAL,MOBILE_APP,1381609,2025-02-07 12:54:19
TXN000000036,ACC0005253,PAYMENT,QRIS,1753071,2025-10-22 21:45:00
TXN000000037,ACC0001710,TOPUP,MOBILE_APP,7547964,2026-01-12 22:30:06
TXN000000038,ACC0001152,TRANSFER,MOBILE_APP,97792,2025-05-29 16:50:44
TXN000000039,ACC0000611,PAYMENT,MOBILE_APP,81681,2025-09-20 15:26:15
TXN000000040,ACC0000246,TRANSFER,MOBILE_APP,2202610,2025-01-29 00:24:20
TXN000000041,ACC0000541,TRANSFER,MOBILE_APP,193043,2025-08-26 16:27:54
TXN000000042,ACC0005831,TRANSFER,MOBILE_APP,34847,2025-03-30 03:19:42
TXN000000043,ACC0002888,TRANSFER,MOBILE_APP,55467,2025-01-21 17:35:52
TXN000000044,ACC0000997,PAYMENT,INTERNET_BANKING,104063,2025-06-17 22:02:01
TXN000000045,ACC0005023,PAYMENT,VA,104534,2026-05-20 22:32:28
TXN000000046,ACC0000105,PAYMENT,ATM_BERSAMA,234174,2025-10-18 16:24:43
TXN000000047,ACC0004064,TOPUP,QRIS,343586,2025-03-26 05:11:02
TXN000000048,ACC0000400,PAYMENT,MOBILE_APP,2071068,2026-04-13 08:35:08
TXN000000049,ACC0003020,PAYMENT,MOBILE_APP,331914,2025-12-04 18:21:21
TXN000000050,ACC0005911,TOPUP,MOBILE_APP,76682,2026-01-04 00:16:55
TXN000000051,ACC0003573,INTEREST,MOBILE_APP,1296684,2025-05-21 16:26:35
TXN000000052,ACC0002495,WITHDRAWAL,VA,618744,2026-03-18 09:06:16
TXN000000053,ACC0004720,TOPUP,VA,2683303,2026-04-01 09:17:50
TXN000000054,ACC0002126,TOPUP,MOBILE_APP,148083,2025-04-17 00:24:46
TXN000000055,ACC0005341,TOPUP,QRIS,2947360,2026-05-22 16:55:53
TXN000000056,ACC0003262,INTEREST,QRIS,28792,2026-03-16 13:17:01
TXN000000057,ACC0005601,FEE,QRIS,802233,2025-09-07 13:17:47
TXN000000058,ACC0002633,PAYMENT,QRIS,217801,2025-04-07 01:03:38
TXN000000059,ACC0000783,INTEREST,QRIS,2953040,2026-04-27 20:41:30
TXN000000060,ACC0003072,PAYMENT,INTERNET_BANKING,380923,2025-03-03 07:35:13
TXN000000061,ACC0002951,INTEREST,MOBILE_APP,348808,2025-05-25 10:39:49
TXN000000062,ACC0004654,PAYMENT,ATM_BERSAMA,385184,2025-09-22 21:20:53
TXN000000063,ACC0002375,TRANSFER,QRIS,903763,2025-10-26 07:06:30
TXN000000064,ACC0000092,TRANSFER,QRIS,151981,2025-06-16 20:42:35
TXN000000065,ACC0004008,TRANSFER,QRIS,664276,2025-11-19 11:45:56
TXN000000066,ACC0001829,TOPUP,MOBILE_APP,445582,2025-09-26 14:07:43
TXN000000067,ACC0002492,TRANSFER,MOBILE_APP,1016593,2025-10-24 13:17:45
TXN000000068,ACC0003799,WITHDRAWAL,MOBILE_APP,530607,2025-07-10 16:45:03
TXN000000069,ACC0003686,WITHDRAWAL,VA,389306,2026-02-05 00:51:44
TXN000000070,ACC0001592,PAYMENT,VA,468650,2026-04-25 20:40:32
TXN000000071,ACC0001930,INTEREST,VA,425380,2025-03-26 01:12:17
TXN000000072,ACC0002516,PAYMENT,VA,1300397,2026-04-26 12:50:59
TXN000000073,ACC0004986,PAYMENT,ATM_BERSAMA,206771,2026-03-09 23:17:46
TXN000000074,ACC0001890,WITHDRAWAL,ATM_BERSAMA,604303,2026-02-06 19:43:29
TXN000000075,ACC0004331,TRANSFER,VA,183026,2025-06-10 06:29:13
TXN000000076,ACC0002944,TOPUP,VA,575510,2025-08-19 12:16:10
TXN000000077,ACC0000573,PAYMENT,MOBILE_APP,2335619,2025-12-11 04:04:14
TXN000000078,ACC0005620,WITHDRAWAL,QRIS,161096,2026-03-14 12:24:50
TXN000000079,ACC0005094,TOPUP,MOBILE_APP,1917087,2026-04-06 08:14:48
TXN000000080,ACC0002964,PAYMENT,MOBILE_APP,1206084,2026-05-17 14:00:30
TXN000000081,ACC0001375,TRANSFER,QRIS,692716,2026-05-13 09:55:03
TXN000000082,ACC0005576,TRANSFER,MOBILE_APP,1133698,2025-09-23 10:01:35
TXN000000083,ACC0002441,TOPUP,MOBILE_APP,989247,2025-05-10 03:26:20
TXN000000084,ACC0004724,PAYMENT,ATM_BERSAMA,798103,2025-07-31 09:35:05
TXN000000085,ACC0003536,TRANSFER,QRIS,713154,2026-01-09 11:00:11
TXN000000086,ACC0003005,INTEREST,QRIS,786237,2026-02-17 00:10:55
TXN000000087,ACC0000569,PAYMENT,MOBILE_APP,649524,2025-07-02 19:44:06
TXN000000088,ACC0005515,FEE,MOBILE_APP,251781,2026-04-06 06:20:43
TXN000000089,ACC0001244,TRANSFER,MOBILE_APP,23343,2025-11-19 13:13:22
TXN000000090,ACC0001742,PAYMENT,QRIS,1463746,2025-09-22 13:42:30
TXN000000091,ACC0000758,TRANSFER,MOBILE_APP,991623,2025-11-28 16:30:31
TXN000000092,ACC0004159,TOPUP,QRIS,375385,2026-05-31 12:41:46
TXN000000093,ACC0002547,WITHDRAWAL,QRIS,80492,2025-08-15 13:40:02
TXN000000094,ACC0004032,FEE,MOBILE_APP,563636,2025-10-24 06:20:12
TXN000000095,ACC0005630,WITHDRAWAL,QRIS,761891,2025-12-28 03:34:20
TXN000000096,ACC0001448,TOPUP,QRIS,655588,2026-01-17 02:45:26
TXN000000097,ACC0002285,WITHDRAWAL,MOBILE_APP,2934983,2025-10-19 15:23:02
TXN000000098,ACC0001273,WITHDRAWAL,MOBILE_APP,1851962,2026-04-27 01:06:23
TXN000000099,ACC0000887,PAYMENT,ATM_BERSAMA,556825,2026-01-04 19:20:10
TXN000000100,ACC0003832,TRANSFER,VA,107940,2025-06-28 14:47:17
TXN000000101,ACC0004577,TOPUP,VA,170716,2025-05-11 22:59:37
TXN000000102,ACC0002374,PAYMENT,MOBILE_APP,1933781,2025-02-09 10:00:45
TXN000000103,ACC0002386,TOPUP,QRIS,994554,2025-01-03 22:00:09
TXN000000104,ACC0005755,PAYMENT,QRIS,745022,2025-01-21 08:12:40
TXN000000105,ACC0005531,TRANSFER,MOBILE_APP,578831,2026-01-15 14:50:37
TXN000000106,ACC0002242,INTEREST,MOBILE_APP,213744,2025-04-30 07:14:09
TXN000000107,ACC0004952,TRANSFER,MOBILE_APP,166010,2026-02-22 04:39:28
TXN000000108,ACC0000403,TOPUP,MOBILE_APP,706656,2026-05-28 23:31:47
TXN000000109,ACC0002730,WITHDRAWAL,MOBILE_APP,170749,2025-11-05 00:03:05
TXN000000110,ACC0004596,TRANSFER,MOBILE_APP,561781,2025-07-12 06:55:56
TXN000000111,ACC0002082,PAYMENT,ATM_BERSAMA,241857,2025-04-25 12:28:02
TXN000000112,ACC0003273,TRANSFER,VA,269152,2026-02-22 21:55:20
TXN000000113,ACC0003894,TRANSFER,MOBILE_APP,255446,2025-05-27 14:20:39
TXN000000114,ACC0002149,TRANSFER,VA,353353,2025-05-20 09:59:50
TXN000000115,ACC0004562,TRANSFER,VA,223925,2025-01-07 11:55:37
TXN000000116,ACC0004437,TRANSFER,QRIS,537566,2025-03-08 22:11:55
TXN000000117,ACC0002799,TRANSFER,QRIS,156856,2025-05-12 02:36:25
TXN000000118,ACC0002157,FEE,MOBILE_APP,170547,2025-09-24 19:12:09
TXN000000119,ACC0002159,TRANSFER,MOBILE_APP,312406,2025-05-22 22:12:41
TXN000000120,ACC0004373,TOPUP,MOBILE_APP,802934,2025-08-04 14:52:01
TXN000000121,ACC0001569,PAYMENT,ATM_BERSAMA,36485,2025-02-18 23:48:49
TXN000000122,ACC0003360,PAYMENT,QRIS,402172,2026-01-06 00:22:01
TXN000000123,ACC0005872,TOPUP,QRIS,151830,2025-09-06 07:33:00
TXN000000124,ACC0004197,TRANSFER,QRIS,751194,2026-04-20 22:37:16
TXN000000125,ACC0000387,TRANSFER,VA,230740,2025-03-21 21:26:56
TXN000000126,ACC0002471,INTEREST,VA,89811,2025-08-11 03:42:05
TXN000000127,ACC0001523,TOPUP,QRIS,351343,2025-09-19 19:04:12
TXN000000128,ACC0001088,TRANSFER,ATM_BERSAMA,1401808,2025-04-30 11:48:38
TXN000000129,ACC0000188,TOPUP,MOBILE_APP,993607,2025-06-12 11:10:21
TXN000000130,ACC0002462,PAYMENT,QRIS,100552,2025-02-14 17:46:49
TXN000000131,ACC0005882,TRANSFER,MOBILE_APP,617362,2026-04-07 10:10:09
TXN000000132,ACC0005203,TOPUP,MOBILE_APP,1013506,2025-05-18 23:59:11
TXN000000133,ACC0003661,TRANSFER,QRIS,459515,2025-08-04 08:56:13
TXN000000134,ACC0001299,INTEREST,MOBILE_APP,120111,2025-08-11 21:40:05
TXN000000135,ACC0000945,PAYMENT,MOBILE_APP,265200,2025-07-02 12:55:08
TXN000000136,ACC0002177,TOPUP,INTERNET_BANKING,399507,2025-01-05 05:20:42
TXN000000137,ACC0000726,PAYMENT,MOBILE_APP,180852,2025-03-09 19:50:44
TXN000000138,ACC0003556,WITHDRAWAL,VA,172949,2025-01-23 15:31:53
TXN000000139,ACC0003698,WITHDRAWAL,QRIS,285327,2025-11-28 03:25:13
TXN000000140,ACC0003905,TRANSFER,MOBILE_APP,1109194,2026-03-31 23:19:32
TXN000000141,ACC0003918,TOPUP,QRIS,3503967,2026-01-26 19:25:14
TXN000000142,ACC0001973,INTEREST,MOBILE_APP,461109,2025-07-08 21:54:23
TXN000000143,ACC0001272,INTEREST,QRIS,2681740,2026-02-21 07:29:51
TXN000000144,ACC0002519,WITHDRAWAL,MOBILE_APP,170685,2025-06-27 07:15:07
TXN000000145,ACC0001110,INTEREST,MOBILE_APP,704378,2025-04-27 22:22:05
TXN000000146,ACC0002610,TOPUP,VA,10642485,2025-10-03 01:45:36
TXN000000147,ACC0001057,INTEREST,INTERNET_BANKING,131761,2025-12-03 15:38:30
TXN000000148,ACC0004157,PAYMENT,MOBILE_APP,2988361,2025-12-21 13:52:01
TXN000000149,ACC0002953,TOPUP,MOBILE_APP,165829,2025-05-16 13:32:25
TXN000000150,ACC0000544,TOPUP,MOBILE_APP,406845,2025-03-03 02:17:24
TXN000000151,ACC0005551,INTEREST,MOBILE_APP,238295,2026-02-10 03:40:27
TXN000000152,ACC0005386,PAYMENT,MOBILE_APP,634146,2025-09-10 23:00:50
TXN000000153,ACC0004416,INTEREST,VA,674082,2025-10-24 05:05:41
TXN000000154,ACC0001591,PAYMENT,MOBILE_APP,124754,2025-02-02 05:31:55
TXN000000155,ACC0004729,PAYMENT,VA,4907197,2026-04-12 05:33:29
TXN000000156,ACC0000714,TRANSFER,MOBILE_APP,344647,2026-02-14 03:38:58
TXN000000157,ACC0002306,WITHDRAWAL,QRIS,3398365,2025-03-13 17:25:31
TXN000000158,ACC0001881,FEE,VA,302489,2025-07-02 07:02:21
TXN000000159,ACC0004166,WITHDRAWAL,MOBILE_APP,366860,2026-03-14 03:55:22
TXN000000160,ACC0005953,FEE,MOBILE_APP,2106113,2025-09-08 02:46:23
TXN000000161,ACC0005683,TRANSFER,VA,329096,2025-12-22 21:35:17
TXN000000162,ACC0002340,PAYMENT,QRIS,1224171,2025-08-31 18:23:09
TXN000000163,ACC0004217,INTEREST,MOBILE_APP,294516,2025-08-03 10:04:57
TXN000000164,ACC0001025,PAYMENT,ATM_BERSAMA,396838,2025-01-11 00:50:42
TXN000000165,ACC0001737,FEE,MOBILE_APP,80128,2026-04-12 19:02:40
TXN000000166,ACC0001248,WITHDRAWAL,MOBILE_APP,1248769,2025-10-15 09:41:05
TXN000000167,ACC0001834,TOPUP,MOBILE_APP,131015,2025-07-05 13:44:56
TXN000000168,ACC0003488,PAYMENT,QRIS,63766,2025-02-17 00:25:21
TXN000000169,ACC0002743,TOPUP,MOBILE_APP,142122,2026-05-18 14:29:38
TXN000000170,ACC0001735,TOPUP,MOBILE_APP,239451,2026-01-13 13:42:42
TXN000000171,ACC0003928,TOPUP,MOBILE_APP,118610,2025-09-21 20:02:16
TXN000000172,ACC0005367,WITHDRAWAL,INTERNET_BANKING,84196,2025-04-29 20:04:15
TXN000000173,ACC0000867,PAYMENT,MOBILE_APP,869927,2025-11-13 09:32:50
TXN000000174,ACC0003421,TOPUP,QRIS,540444,2026-02-27 05:47:10
TXN000000175,ACC0004679,WITHDRAWAL,VA,1540098,2025-01-27 00:12:50
TXN000000176,ACC0005421,TRANSFER,QRIS,1270279,2026-04-29 08:03:10
TXN000000177,ACC0005497,INTEREST,MOBILE_APP,517205,2025-09-20 20:16:55
TXN000000178,ACC0001589,TRANSFER,VA,147383,2026-01-18 00:46:16
TXN000000179,ACC0004881,INTEREST,INTERNET_BANKING,585689,2025-09-18 00:29:55
TXN000000180,ACC0000335,WITHDRAWAL,MOBILE_APP,59849,2025-05-06 10:39:20
TXN000000181,ACC0005187,TOPUP,VA,8123330,2025-03-11 02:05:43
TXN000000182,ACC0005997,PAYMENT,MOBILE_APP,26395,2025-01-14 05:31:25
TXN000000183,ACC0004589,TRANSFER,MOBILE_APP,772672,2025-08-07 01:22:19
TXN000000184,ACC0005593,TOPUP,QRIS,289573,2025-07-16 02:06:01
TXN000000185,ACC0002491,TRANSFER,MOBILE_APP,1486966,2025-01-22 10:59:51
TXN000000186,ACC0005969,INTEREST,QRIS,2956027,2025-06-13 21:16:16
TXN000000187,ACC0001087,TOPUP,VA,217408,2025-04-02 22:18:42
TXN000000188,ACC0001045,TRANSFER,MOBILE_APP,1073004,2025-07-11 22:24:53
TXN000000189,ACC0005522,PAYMENT,INTERNET_BANKING,790967,2025-01-27 14:45:30
TXN000000190,ACC0000049,TRANSFER,MOBILE_APP,378909,2025-04-15 19:55:14
TXN000000191,ACC0001770,TRANSFER,MOBILE_APP,933452,2026-01-07 13:36:26
TXN000000192,ACC0000231,INTEREST,QRIS,229237,2025-09-14 06:45:47
TXN000000193,ACC0005245,INTEREST,VA,1263059,2025-05-09 04:25:10
TXN000000194,ACC0005544,TOPUP,MOBILE_APP,494732,2025-08-18 23:37:00
TXN000000195,ACC0001825,TOPUP,VA,129536,2025-10-10 21:09:36
TXN000000196,ACC0004659,TRANSFER,QRIS,250963,2025-05-05 12:58:59
TXN000000197,ACC0000002,TOPUP,MOBILE_APP,69706,2026-01-01 02:53:42
TXN000000198,ACC0000605,PAYMENT,MOBILE_APP,515544,2025-09-09 22:46:49
TXN000000199,ACC0000617,INTEREST,ATM_BERSAMA,191873,2025-09-02 01:45:32
TXN000000200,ACC0002366,PAYMENT,VA,148435,2025-07-03 07:17:01
TXN000000201,ACC0004646,TOPUP,MOBILE_APP,600914,2026-01-12 00:54:29
TXN000000202,ACC0004016,TRANSFER,VA,466517,2026-03-20 02:00:38
TXN000000203,ACC0002294,TOPUP,INTERNET_BANKING,167957,2025-12-12 15:05:00
TXN000000204,ACC0003932,INTEREST,MOBILE_APP,119246,2025-04-27 18:51:57
TXN000000205,ACC0005139,TOPUP,MOBILE_APP,42733,2025-04-06 12:31:24
TXN000000206,ACC0003868,FEE,QRIS,458828,2025-03-23 11:33:59
TXN000000207,ACC0003248,TRANSFER,MOBILE_APP,150881,2025-09-16 09:00:45
TXN000000208,ACC0000909,WITHDRAWAL,ATM_BERSAMA,147511,2025-05-21 12:05:13
TXN000000209,ACC0001619,TRANSFER,MOBILE_APP,1125038,2025-11-08 13:22:34
TXN000000210,ACC0002852,PAYMENT,QRIS,2546212,2025-04-13 10:10:46
TXN000000211,ACC0003197,TOPUP,QRIS,200546,2026-02-23 14:49:11
TXN000000212,ACC0001010,FEE,MOBILE_APP,153964,2025-04-11 07:57:07
TXN000000213,ACC0005159,WITHDRAWAL,QRIS,364006,2025-05-01 10:13:33
TXN000000214,ACC0005900,TOPUP,QRIS,58720,2026-01-26 18:12:14
TXN000000215,ACC0000231,TRANSFER,MOBILE_APP,741712,2025-03-08 06:37:49
TXN000000216,ACC0000245,TRANSFER,VA,40551,2025-10-08 11:14:00
TXN000000217,ACC0001878,TRANSFER,QRIS,222460,2025-03-23 18:45:20
TXN000000218,ACC0003931,FEE,VA,358661,2025-04-08 12:20:18
TXN000000219,ACC0004231,INTEREST,MOBILE_APP,847737,2025-10-24 06:19:36
TXN000000220,ACC0000908,PAYMENT,MOBILE_APP,26892,2026-03-02 03:30:52
TXN000000221,ACC0001839,PAYMENT,MOBILE_APP,1627500,2025-10-17 09:45:27
TXN000000222,ACC0004639,WITHDRAWAL,MOBILE_APP,2816262,2026-04-28 12:48:50
TXN000000223,ACC0005399,PAYMENT,MOBILE_APP,421605,2025-02-14 10:53:43
TXN000000224,ACC0005774,WITHDRAWAL,MOBILE_APP,48501,2025-01-21 02:07:36
TXN000000225,ACC0000309,TRANSFER,MOBILE_APP,57529,2025-11-15 03:48:07
TXN000000226,ACC0000622,PAYMENT,MOBILE_APP,704827,2025-07-01 05:15:11
TXN000000227,ACC0004633,TOPUP,INTERNET_BANKING,35502,2026-03-24 15:45:47
TXN000000228,ACC0000392,TOPUP,VA,771220,2025-04-20 18:06:43
TXN000000229,ACC0002444,WITHDRAWAL,QRIS,2026158,2025-07-08 06:20:00
TXN000000230,ACC0000321,TOPUP,VA,285043,2025-03-09 14:41:03
TXN000000231,ACC0003265,WITHDRAWAL,ATM_BERSAMA,4063885,2025-01-17 18:50:12
TXN000000232,ACC0004110,TRANSFER,MOBILE_APP,1831155,2025-06-02 12:57:35
TXN000000233,ACC0001095,INTEREST,QRIS,452408,2025-05-12 03:22:31
TXN000000234,ACC0000705,TOPUP,MOBILE_APP,123358,2025-04-22 16:26:12
TXN000000235,ACC0004966,TRANSFER,MOBILE_APP,434751,2025-06-13 08:04:34
TXN000000236,ACC0000090,TRANSFER,QRIS,812057,2025-10-18 11:38:35
TXN000000237,ACC0005502,TRANSFER,QRIS,3127830,2025-03-19 01:50:54
TXN000000238,ACC0002158,WITHDRAWAL,MOBILE_APP,1202134,2025-04-25 19:01:51
TXN000000239,ACC0000235,PAYMENT,QRIS,1236069,2026-03-26 21:29:30
TXN000000240,ACC0005494,INTEREST,MOBILE_APP,262761,2025-02-03 04:45:56
TXN000000241,ACC0002261,TOPUP,VA,1854680,2025-08-23 07:38:48
TXN000000242,ACC0003644,TRANSFER,VA,653990,2026-04-08 15:01:13
TXN000000243,ACC0002334,PAYMENT,ATM_BERSAMA,348105,2026-04-30 09:47:16
TXN000000244,ACC0002623,TOPUP,ATM_BERSAMA,442091,2026-03-10 14:55:59
TXN000000245,ACC0002102,TRANSFER,MOBILE_APP,602791,2026-02-25 11:22:23
TXN000000246,ACC0003582,WITHDRAWAL,MOBILE_APP,1095171,2026-03-09 18:33:44
TXN000000247,ACC0004006,TOPUP,MOBILE_APP,793100,2025-10-20 21:33:41
TXN000000248,ACC0001054,TOPUP,VA,291137,2026-01-12 13:17:33
TXN000000249,ACC0002579,PAYMENT,MOBILE_APP,185112,2025-10-29 16:37:14
TXN000000250,ACC0001910,PAYMENT,VA,130096,2025-08-04 17:11:30
TXN000000251,ACC0003524,TRANSFER,QRIS,342599,2025-10-07 20:35:08
TXN000000252,ACC0002634,PAYMENT,MOBILE_APP,57469,2025-09-18 22:16:56
TXN000000253,ACC0003016,PAYMENT,QRIS,651187,2025-12-20 05:53:35
TXN000000254,ACC0000316,TOPUP,VA,225130,2025-03-08 19:58:33
TXN000000255,ACC0002282,WITHDRAWAL,VA,1452268,2025-01-16 00:23:26
TXN000000256,ACC0002031,WITHDRAWAL,VA,674718,2025-10-22 23:17:32
TXN000000257,ACC0005191,WITHDRAWAL,QRIS,169443,2025-01-23 00:58:48
TXN000000258,ACC0002040,FEE,MOBILE_APP,349767,2026-02-09 20:25:11
TXN000000259,ACC0001452,TRANSFER,QRIS,1002171,2025-02-22 10:48:08
TXN000000260,ACC0002189,PAYMENT,MOBILE_APP,421091,2025-06-02 11:17:47
TXN000000261,ACC0001848,PAYMENT,MOBILE_APP,600888,2025-08-26 12:49:07
TXN000000262,ACC0003816,PAYMENT,MOBILE_APP,475914,2026-01-29 13:55:58
TXN000000263,ACC0003849,TRANSFER,QRIS,77034,2025-01-24 07:30:51
TXN000000264,ACC0002434,TOPUP,QRIS,767284,2025-06-30 13:29:11
TXN000000265,ACC0005666,TOPUP,VA,95086,2025-09-30 11:04:24
TXN000000266,ACC0005203,TRANSFER,VA,156408,2025-06-28 10:46:08
TXN000000267,ACC0002972,TOPUP,QRIS,299178,2025-08-27 11:54:00
TXN000000268,ACC0000385,TRANSFER,ATM_BERSAMA,34098,2026-03-21 19:46:41
TXN000000269,ACC0002534,WITHDRAWAL,MOBILE_APP,46643,2025-08-18 02:20:40
TXN000000270,ACC0001599,TOPUP,MOBILE_APP,1354117,2025-09-16 07:49:45
TXN000000271,ACC0004338,WITHDRAWAL,QRIS,329338,2025-06-29 08:54:47
TXN000000272,ACC0002296,TRANSFER,MOBILE_APP,987616,2026-03-31 07:17:42
TXN000000273,ACC0001399,TRANSFER,QRIS,787266,2026-02-06 12:14:06
TXN000000274,ACC0004981,TRANSFER,MOBILE_APP,2095108,2025-05-28 20:17:11
TXN000000275,ACC0002035,PAYMENT,MOBILE_APP,200435,2026-03-08 16:48:47
TXN000000276,ACC0001856,FEE,VA,295889,2025-09-01 05:45:59
TXN000000277,ACC0005095,INTEREST,MOBILE_APP,339483,2025-12-27 12:52:44
TXN000000278,ACC0003156,TRANSFER,QRIS,1359265,2026-05-20 01:18:45
TXN000000279,ACC0000960,PAYMENT,MOBILE_APP,199797,2025-04-10 10:55:29
TXN000000280,ACC0001280,WITHDRAWAL,MOBILE_APP,271439,2025-03-02 18:51:30
TXN000000281,ACC0004384,PAYMENT,INTERNET_BANKING,573549,2026-03-01 17:31:20
TXN000000282,ACC0005635,TOPUP,MOBILE_APP,420640,2025-12-15 08:17:53
TXN000000283,ACC0002180,TOPUP,INTERNET_BANKING,282743,2025-05-02 12:32:57
TXN000000284,ACC0001028,TOPUP,VA,339740,2025-12-31 14:06:23
TXN000000285,ACC0003442,TRANSFER,MOBILE_APP,3387177,2025-05-28 00:05:42
TXN000000286,ACC0005191,PAYMENT,MOBILE_APP,711536,2025-12-08 05:07:02
TXN000000287,ACC0003443,TRANSFER,MOBILE_APP,138643,2026-03-25 00:54:32
TXN000000288,ACC0002482,TRANSFER,MOBILE_APP,238395,2025-04-24 22:16:00
TXN000000289,ACC0004292,TOPUP,MOBILE_APP,1230089,2025-07-30 05:05:42
TXN000000290,ACC0001915,TOPUP,QRIS,558201,2025-03-18 07:20:42
TXN000000291,ACC0001867,FEE,MOBILE_APP,855741,2025-09-23 19:59:57
TXN000000292,ACC0003486,TOPUP,MOBILE_APP,127187,2025-05-20 18:24:09
TXN000000293,ACC0004529,TOPUP,MOBILE_APP,2218598,2025-09-24 23:54:48
TXN000000294,ACC0005213,FEE,MOBILE_APP,1569857,2025-03-24 15:36:37
TXN000000295,ACC0001343,INTEREST,MOBILE_APP,670472,2025-05-21 11:25:05
TXN000000296,ACC0005059,TRANSFER,VA,1134311,2025-12-11 05:42:22
TXN000000297,ACC0004609,FEE,MOBILE_APP,1010172,2025-10-28 06:37:52
TXN000000298,ACC0000110,TRANSFER,MOBILE_APP,405745,2025-02-01 21:27:26
TXN000000299,ACC0004422,PAYMENT,INTERNET_BANKING,2867212,2025-07-13 11:04:07
TXN000000300,ACC0001268,TRANSFER,VA,422215,2025-12-19 03:17:59
TXN000000301,ACC0000374,PAYMENT,MOBILE_APP,732249,2025-07-08 12:46:36
TXN000000302,ACC0005630,FEE,QRIS,1039002,2025-10-14 16:49:34
TXN000000303,ACC0003159,TOPUP,MOBILE_APP,1402782,2025-11-13 04:17:45
TXN000000304,ACC0000100,WITHDRAWAL,VA,133344,2026-05-19 01:51:50
TXN000000305,ACC0001831,PAYMENT,VA,120257,2025-11-26 13:37:23
TXN000000306,ACC0004667,PAYMENT,ATM_BERSAMA,2407345,2026-01-25 00:56:18
TXN000000307,ACC0005168,WITHDRAWAL,ATM_BERSAMA,178189,2025-11-04 15:17:09
TXN000000308,ACC0004729,TRANSFER,MOBILE_APP,3148391,2026-01-13 17:34:43
TXN000000309,ACC0002328,PAYMENT,QRIS,496991,2025-05-26 00:10:26
TXN000000310,ACC0001957,TRANSFER,ATM_BERSAMA,501584,2025-06-05 20:24:46
TXN000000311,ACC0004558,TRANSFER,MOBILE_APP,53022,2026-05-26 21:03:14
TXN000000312,ACC0004693,TRANSFER,QRIS,435417,2026-04-02 11:30:31
TXN000000313,ACC0001674,TRANSFER,MOBILE_APP,252796,2025-11-14 16:45:54
TXN000000314,ACC0002331,PAYMENT,QRIS,405564,2025-04-03 10:31:38
