repayment_id,loan_id,due_date,paid_date,amount_due,amount_paid,is_late
RPM00000058,LOAN0005040,2022-12-07,2022-12-07,2000000,2000000,0
RPM00000059,LOAN0006427,2023-02-07,2023-02-07,4000000,3136754,0
RPM00000060,LOAN0006432,2024-05-12,2024-05-09,500000,500000,0
RPM00000061,LOAN0002984,2023-01-20,2023-01-19,4000000,4000000,0
RPM00000062,LOAN0007575,2024-10-16,2024-10-15,500000,500000,0
RPM00000063,LOAN0004629,2022-05-29,2022-06-10,4000000,4000000,1
RPM00000064,LOAN0005802,2024-12-09,2024-12-09,1000000,557014,0
RPM00000065,LOAN0007860,2024-09-26,2024-09-24,4000000,4000000,0
RPM00000066,LOAN0000017,2023-12-17,2024-01-05,4000000,4000000,1
RPM00000067,LOAN0000567,2025-05-06,2025-05-16,4000000,4000000,1
RPM00000068,LOAN0007683,2025-02-02,2025-01-31,4000000,4000000,0
RPM00000069,LOAN0000245,2025-09-10,2025-09-08,1000000,1000000,0
RPM00000070,LOAN0005766,2022-04-08,2022-04-05,300000,300000,0
RPM00000071,LOAN0006560,2024-05-11,2024-05-09,2000000,2000000,0
RPM00000072,LOAN0003499,2022-12-20,2022-12-17,4000000,4000000,0
RPM00000073,LOAN0007825,2022-09-10,2022-09-10,300000,300000,0
RPM00000074,LOAN0003335,2025-06-03,2025-05-31,500000,500000,0
RPM00000075,LOAN0005622,2022-03-24,2022-03-23,500000,500000,0
RPM00000076,LOAN0004378,2024-09-22,2024-09-20,1000000,1000000,0
RPM00000077,LOAN0000511,2025-04-05,2025-04-02,500000,500000,0
RPM00000078,LOAN0005073,2025-08-23,2025-08-22,1000000,1000000,0
RPM00000079,LOAN0002273,2022-07-21,2022-08-09,1000000,1000000,1
RPM00000080,LOAN0006244,2024-10-31,2024-10-31,1000000,1000000,0
RPM00000081,LOAN0005820,2023-06-03,2023-06-03,500000,500000,0
RPM00000082,LOAN0006723,2023-04-19,2023-04-18,4000000,4000000,0
RPM00000083,LOAN0004763,2022-08-12,2022-08-09,2000000,2000000,0
RPM00000084,LOAN0000304,2024-11-14,2024-11-28,2000000,2000000,1
RPM00000085,LOAN0003098,2023-02-15,2023-02-12,300000,300000,0
RPM00000086,LOAN0001128,2022-07-18,2022-08-07,500000,500000,1
RPM00000087,LOAN0003785,2025-07-10,2025-07-10,1000000,1000000,0
RPM00000088,LOAN0000425,2023-06-29,2023-06-29,500000,500000,0
RPM00000089,LOAN0001147,2024-08-29,2024-08-29,500000,500000,0
RPM00000090,LOAN0006771,2025-02-15,2025-02-14,300000,300000,0
RPM00000091,LOAN0007614,2023-02-05,2023-02-05,1000000,1000000,0
RPM00000092,LOAN0006705,2022-04-10,2022-04-10,300000,300000,0
RPM00000093,LOAN0003728,2024-08-17,2024-08-15,1000000,1000000,0
RPM00000094,LOAN0004605,2025-02-13,2025-03-05,4000000,4000000,1
RPM00000095,LOAN0002584,2024-04-04,2024-04-08,2000000,2000000,1
RPM00000096,LOAN0003079,2024-03-05,2024-03-04,4000000,4000000,0
RPM00000097,LOAN0001062,2024-05-13,2024-05-13,500000,500000,0
RPM00000098,LOAN0005342,2025-05-18,2025-05-15,2000000,2000000,0
RPM00000099,LOAN0000591,2024-03-30,2024-03-29,300000,300000,0
RPM00000100,LOAN0003301,2025-06-17,2025-06-17,1000000,1000000,0
RPM00000101,LOAN0000720,2023-01-29,2023-01-29,4000000,4000000,0
RPM00000102,LOAN0004459,2024-03-11,2024-03-27,500000,500000,1
RPM00000103,LOAN0002863,2024-08-18,2024-08-16,500000,500000,0
RPM00000104,LOAN0005509,2025-08-21,2025-08-18,500000,500000,0
RPM00000105,LOAN0001854,2023-12-31,2023-12-29,500000,500000,0
RPM00000106,LOAN0004741,2022-07-07,2022-07-04,4000000,4000000,0
RPM00000107,LOAN0005736,2023-02-17,2023-02-17,4000000,4000000,0
RPM00000108,LOAN0000710,2024-12-24,2025-01-13,1000000,1000000,1
RPM00000109,LOAN0002107,2024-01-26,2024-01-25,300000,300000,0
RPM00000110,LOAN0001361,2025-09-05,2025-09-03,2000000,2000000,0
RPM00000111,LOAN0000351,2024-03-30,2024-03-28,4000000,4000000,0
RPM00000112,LOAN0003012,2024-11-17,2024-11-16,500000,423704,0
RPM00000113,LOAN0001818,2025-03-29,2025-03-29,2000000,2000000,0
RPM00000114,LOAN0002933,2023-12-23,2023-12-24,500000,500000,1
RPM00000115,LOAN0000784,2022-06-29,2022-06-28,300000,300000,0
RPM00000116,LOAN0002207,2025-04-30,2025-04-29,300000,300000,0
RPM00000117,LOAN0005328,2022-02-04,2022-02-03,1000000,1000000,0
RPM00000118,LOAN0007480,2023-03-25,2023-03-23,4000000,4000000,0
RPM00000119,LOAN0007860,2026-05-30,2026-05-28,4000000,4000000,0
RPM00000120,LOAN0005886,2025-10-26,2025-10-24,1000000,1000000,0
RPM00000121,LOAN0002650,2023-04-11,2023-05-03,1000000,1000000,1
RPM00000122,LOAN0005785,2022-12-28,2022-12-25,500000,500000,0
RPM00000123,LOAN0001536,2022-04-06,2022-04-06,300000,300000,0
RPM00000124,LOAN0006002,2026-03-11,2026-03-10,1000000,1000000,0
RPM00000125,LOAN0007673,2025-10-19,2025-10-17,1000000,1000000,0
RPM00000126,LOAN0007632,2022-12-20,2022-12-19,4000000,4000000,0
RPM00000127,LOAN0003250,2024-06-21,2024-06-20,300000,300000,0
RPM00000128,LOAN0000320,2025-11-09,2025-11-07,2000000,2000000,0
RPM00000129,LOAN0002202,2022-11-27,2022-11-25,1000000,1000000,0
RPM00000130,LOAN0002758,2025-11-04,2025-11-04,2000000,2000000,0
RPM00000131,LOAN0002996,2022-02-28,2022-03-04,300000,300000,1
RPM00000132,LOAN0000007,2023-05-27,2023-06-05,1000000,1000000,1
RPM00000133,LOAN0006865,2023-06-01,2023-05-30,500000,500000,0
RPM00000134,LOAN0006563,2025-12-27,2025-12-27,1000000,1000000,0
RPM00000135,LOAN0001744,2023-04-10,2023-04-08,4000000,4000000,0
RPM00000136,LOAN0004371,2024-04-25,2024-04-23,300000,300000,0
RPM00000137,LOAN0004443,2025-02-22,2025-02-20,2000000,2000000,0
RPM00000138,LOAN0002305,2025-09-18,2025-09-18,4000000,4000000,0
RPM00000139,LOAN0007562,2026-03-08,2026-03-11,2000000,2000000,1
RPM00000140,LOAN0007766,2023-01-24,2023-01-28,500000,500000,1
RPM00000141,LOAN0002070,2022-12-11,2022-12-10,300000,216653,0
RPM00000142,LOAN0006839,2022-07-01,2022-07-01,2000000,2000000,0
RPM00000143,LOAN0007073,2024-06-25,2024-06-25,2000000,2000000,0
RPM00000144,LOAN0006154,2023-12-16,2023-12-13,2000000,2000000,0
RPM00000145,LOAN0007165,2025-03-17,2025-03-16,4000000,4000000,0
RPM00000146,LOAN0001599,2026-02-06,2026-02-05,2000000,2000000,0
RPM00000147,LOAN0003799,2023-08-17,2023-08-21,500000,500000,1
RPM00000148,LOAN0000400,2024-03-04,2024-03-02,2000000,2000000,0
RPM00000149,LOAN0002156,2023-04-30,2023-05-08,1000000,1000000,1
RPM00000150,LOAN0007090,2022-05-19,2022-05-17,2000000,2000000,0
RPM00000151,LOAN0003298,2025-05-27,2025-06-04,4000000,4000000,1
RPM00000152,LOAN0004485,2022-05-08,2022-05-08,2000000,2000000,0
RPM00000153,LOAN0006167,2024-03-28,2024-03-26,500000,500000,0
RPM00000154,LOAN0000963,2025-01-10,2025-01-08,300000,300000,0
RPM00000155,LOAN0001990,2022-12-05,2022-12-04,2000000,2000000,0
RPM00000156,LOAN0005605,2024-07-26,2024-07-26,2000000,961641,0
RPM00000157,LOAN0002341,2023-01-03,2023-01-03,300000,203277,0
RPM00000158,LOAN0001751,2023-07-06,2023-07-03,2000000,2000000,0
RPM00000159,LOAN0001988,2025-02-17,2025-02-16,1000000,1000000,0
RPM00000160,LOAN0005331,2024-06-06,2024-06-04,300000,300000,0
RPM00000161,LOAN0002901,2023-11-11,2023-11-09,4000000,2525696,0
RPM00000162,LOAN0000636,2025-01-02,2024-12-30,500000,500000,0
RPM00000163,LOAN0007470,2025-10-05,2025-10-05,500000,500000,0
RPM00000164,LOAN0004167,2022-06-06,2022-06-05,500000,167557,0
RPM00000165,LOAN0002304,2025-03-14,2025-03-14,1000000,1000000,0
RPM00000166,LOAN0005563,2022-11-27,2022-11-27,300000,300000,0
RPM00000167,LOAN0002177,2025-09-05,2025-09-02,4000000,4000000,0
RPM00000168,LOAN0004743,2023-07-22,2023-08-15,1000000,1000000,1
RPM00000169,LOAN0004067,2025-10-03,2025-09-30,500000,500000,0
RPM00000170,LOAN0007188,2025-09-04,2025-09-03,500000,500000,0
RPM00000171,LOAN0007843,2022-12-28,2022-12-26,4000000,4000000,0
RPM00000172,LOAN0006663,2023-11-27,2023-11-27,300000,300000,0
RPM00000173,LOAN0006298,2024-05-31,2024-05-31,4000000,4000000,0
RPM00000174,LOAN0007728,2024-09-18,2024-09-15,2000000,2000000,0
RPM00000175,LOAN0007269,2023-01-06,2023-01-16,500000,500000,1
RPM00000176,LOAN0001928,2022-05-10,2022-05-11,2000000,2000000,1
RPM00000177,LOAN0007968,2024-01-28,2024-01-26,2000000,2000000,0
RPM00000178,LOAN0002552,2022-09-05,2022-09-21,4000000,4000000,1
RPM00000179,LOAN0004754,2023-07-13,2023-07-11,4000000,4000000,0
RPM00000180,LOAN0007979,2023-05-02,2023-05-03,500000,500000,1
RPM00000181,LOAN0005958,2024-04-15,2024-04-13,300000,300000,0
RPM00000182,LOAN0001249,2022-06-14,2022-06-20,2000000,2000000,1
RPM00000183,LOAN0000116,2023-09-06,2023-09-04,1000000,1000000,0
RPM00000184,LOAN0005893,2022-06-26,2022-06-23,4000000,4000000,0
RPM00000185,LOAN0004064,2025-05-07,2025-05-05,1000000,1000000,0
RPM00000186,LOAN0004880,2026-02-03,2026-02-01,500000,500000,0
RPM00000187,LOAN0003037,2023-03-19,2023-03-16,1000000,1000000,0
RPM00000188,LOAN0000799,2025-05-21,2025-05-18,1000000,1000000,0
RPM00000189,LOAN0003433,2024-02-09,2024-02-08,500000,500000,0
RPM00000190,LOAN0000462,2024-08-28,2024-08-25,1000000,1000000,0
RPM00000191,LOAN0006795,2022-06-15,2022-06-13,1000000,1000000,0
RPM00000192,LOAN0006671,2022-09-16,2022-09-14,1000000,1000000,0
RPM00000193,LOAN0001346,2026-01-16,2026-01-13,2000000,2000000,0
RPM00000194,LOAN0004453,2025-01-04,2025-01-01,2000000,2000000,0
RPM00000195,LOAN0001208,2024-09-10,2024-09-20,4000000,4000000,1
RPM00000196,LOAN0001108,2024-10-05,2024-10-04,1000000,1000000,0
RPM00000197,LOAN0006346,2022-04-24,2022-04-21,300000,300000,0
RPM00000198,LOAN0006179,2026-01-14,2026-01-14,4000000,4000000,0
RPM00000199,LOAN0002504,2023-10-03,2023-10-02,2000000,2000000,0
RPM00000200,LOAN0001568,2022-11-01,2022-10-30,2000000,2000000,0
RPM00000201,LOAN0007824,2023-04-18,2023-04-17,300000,300000,0
RPM00000202,LOAN0004630,2024-07-23,2024-07-21,1000000,1000000,0
RPM00000203,LOAN0000730,2024-08-31,2024-08-28,300000,160118,0
RPM00000204,LOAN0003975,2022-06-24,2022-06-22,4000000,4000000,0
RPM00000205,LOAN0006915,2024-08-13,2024-09-02,1000000,1000000,1
RPM00000206,LOAN0007472,2026-04-12,2026-04-10,300000,300000,0
RPM00000207,LOAN0007523,2025-01-29,2025-01-26,4000000,4000000,0
RPM00000208,LOAN0007081,2023-07-24,2023-07-26,1000000,1000000,1
RPM00000209,LOAN0007514,2026-02-15,2026-02-12,2000000,2000000,0
RPM00000210,LOAN0006360,2026-05-28,2026-05-27,2000000,2000000,0
RPM00000211,LOAN0006512,2023-05-28,2023-05-25,2000000,2000000,0
RPM00000212,LOAN0003555,2023-10-10,2023-10-07,2000000,2000000,0
RPM00000213,LOAN0004177,2025-05-12,2025-05-12,300000,300000,0
RPM00000214,LOAN0000846,2023-11-03,2023-11-01,2000000,2000000,0
RPM00000215,LOAN0002940,2022-11-14,2022-11-12,1000000,1000000,0
RPM00000216,LOAN0000571,2022-04-19,2022-04-19,4000000,4000000,0
RPM00000217,LOAN0002468,2024-10-01,2024-09-29,1000000,1000000,0
RPM00000218,LOAN0006617,2024-08-15,2024-08-15,300000,300000,0
RPM00000219,LOAN0001561,2022-05-30,2022-05-30,500000,500000,0
RPM00000220,LOAN0007462,2022-07-05,2022-07-02,4000000,4000000,0
RPM00000221,LOAN0003952,2024-10-09,2024-10-31,500000,500000,1
RPM00000222,LOAN0003985,2023-01-09,2023-01-07,1000000,1000000,0
RPM00000223,LOAN0007391,2022-11-09,2022-11-08,500000,500000,0
RPM00000224,LOAN0003969,2022-10-26,2022-11-06,4000000,4000000,1
RPM00000225,LOAN0003226,2025-02-12,2025-02-10,4000000,4000000,0
RPM00000226,LOAN0000295,2022-08-22,2022-08-21,300000,300000,0
RPM00000227,LOAN0007459,2022-04-11,2022-05-04,2000000,2000000,1
RPM00000228,LOAN0002641,2026-05-14,2026-05-13,4000000,4000000,0
RPM00000229,LOAN0007299,2025-08-08,2025-08-07,2000000,2000000,0
RPM00000230,LOAN0005383,2023-10-23,2023-10-23,1000000,1000000,0
RPM00000231,LOAN0005939,2025-07-20,2025-07-18,4000000,4000000,0
RPM00000232,LOAN0002254,2026-01-13,2026-01-19,1000000,1000000,1
RPM00000233,LOAN0000603,2023-12-18,2023-12-18,2000000,2000000,0
RPM00000234,LOAN0001485,2022-02-12,2022-03-02,1000000,1000000,1
RPM00000235,LOAN0004109,2024-08-10,2024-08-19,300000,300000,1
RPM00000236,LOAN0006143,2023-07-19,2023-08-03,2000000,2000000,1
RPM00000237,LOAN0001762,2024-07-13,2024-07-13,4000000,4000000,0
RPM00000238,LOAN0000687,2026-04-19,2026-04-27,300000,300000,1
RPM00000239,LOAN0000838,2023-10-05,2023-10-02,500000,500000,0
RPM00000240,LOAN0001643,2022-11-19,2022-11-18,300000,300000,0
RPM00000241,LOAN0000608,2024-05-11,2024-05-08,1000000,1000000,0
RPM00000242,LOAN0007223,2022-06-19,2022-06-19,500000,500000,0
RPM00000243,LOAN0007380,2026-04-20,2026-04-17,1000000,1000000,0
RPM00000244,LOAN0002744,2022-08-26,2022-08-26,1000000,1000000,0
RPM00000245,LOAN0003467,2025-09-23,2025-09-22,4000000,4000000,0
RPM00000246,LOAN0003295,2024-10-08,2024-11-02,2000000,2000000,1
RPM00000247,LOAN0003419,2022-07-03,2022-06-30,4000000,4000000,0
RPM00000248,LOAN0007202,2024-03-23,2024-03-20,2000000,2000000,0
RPM00000249,LOAN0005240,2023-10-04,2023-10-04,4000000,4000000,0
RPM00000250,LOAN0005895,2025-10-08,2025-10-13,2000000,2000000,1
RPM00000251,LOAN0001686,2025-09-08,2025-09-18,300000,300000,1
RPM00000252,LOAN0003537,2025-07-10,2025-07-23,4000000,4000000,1
RPM00000253,LOAN0002443,2022-02-09,2022-02-12,1000000,1000000,1
RPM00000254,LOAN0007568,2022-08-30,2022-08-28,2000000,2000000,0
RPM00000255,LOAN0005826,2023-03-03,2023-03-06,500000,500000,1
RPM00000256,LOAN0000559,2025-05-02,2025-05-23,1000000,1000000,1
RPM00000257,LOAN0002696,2025-06-15,2025-06-15,300000,300000,0
RPM00000258,LOAN0001253,2025-07-12,2025-07-12,1000000,1000000,0
RPM00000259,LOAN0002214,2026-04-14,2026-04-14,4000000,4000000,0
RPM00000260,LOAN0003615,2024-07-10,2024-07-09,300000,300000,0
RPM00000261,LOAN0002330,2025-04-08,2025-04-05,300000,300000,0
RPM00000262,LOAN0002848,2022-09-17,2022-09-15,300000,193354,0
RPM00000263,LOAN0003956,2025-11-01,2025-11-19,4000000,4000000,1
RPM00000264,LOAN0006831,2024-02-04,2024-02-04,4000000,4000000,0
RPM00000265,LOAN0001679,2022-02-24,2022-02-21,300000,101718,0
RPM00000266,LOAN0006280,2026-04-27,2026-04-26,4000000,4000000,0
RPM00000267,LOAN0000763,2025-02-26,2025-03-19,1000000,1000000,1
RPM00000268,LOAN0002651,2025-11-07,2025-11-06,1000000,1000000,0
RPM00000269,LOAN0003421,2023-04-26,2023-04-25,500000,500000,0
RPM00000270,LOAN0006565,2023-02-21,2023-02-19,2000000,2000000,0
RPM00000271,LOAN0003724,2024-08-10,2024-08-07,2000000,820316,0
RPM00000272,LOAN0006365,2026-02-16,2026-02-14,4000000,4000000,0
RPM00000273,LOAN0005926,2024-05-17,2024-05-14,500000,229684,0
RPM00000274,LOAN0007358,2023-03-27,2023-03-27,4000000,4000000,0
RPM00000275,LOAN0002208,2024-07-02,2024-06-29,300000,300000,0
RPM00000276,LOAN0001199,2024-10-28,2024-10-28,1000000,1000000,0
RPM00000277,LOAN0002565,2026-05-31,2026-05-28,1000000,1000000,0
RPM00000278,LOAN0003879,2022-04-27,2022-05-19,1000000,1000000,1
RPM00000279,LOAN0005288,2023-05-25,2023-05-25,2000000,2000000,0
RPM00000280,LOAN0006742,2024-07-08,2024-07-06,1000000,1000000,0
RPM00000281,LOAN0001299,2022-04-14,2022-04-11,300000,300000,0
RPM00000282,LOAN0002850,2024-07-09,2024-07-17,1000000,1000000,1
RPM00000283,LOAN0006119,2024-03-27,2024-03-27,1000000,1000000,0
RPM00000284,LOAN0000324,2023-08-16,2023-08-15,300000,300000,0
RPM00000285,LOAN0000849,2024-01-05,2024-01-03,500000,500000,0
RPM00000286,LOAN0001117,2023-03-13,2023-03-13,500000,500000,0
RPM00000287,LOAN0006103,2024-08-02,2024-07-31,300000,300000,0
RPM00000288,LOAN0004751,2022-06-03,2022-06-02,2000000,2000000,0
RPM00000289,LOAN0006291,2025-10-08,2025-10-07,4000000,4000000,0
RPM00000290,LOAN0000541,2025-09-21,2025-09-21,2000000,2000000,0
RPM00000291,LOAN0006156,2023-02-25,2023-03-18,1000000,1000000,1
RPM00000292,LOAN0002247,2023-12-31,2023-12-28,4000000,1248409,0
RPM00000293,LOAN0005061,2023-10-15,2023-10-15,4000000,4000000,0
RPM00000294,LOAN0000109,2023-10-09,2023-10-20,300000,300000,1
RPM00000295,LOAN0003719,2022-07-27,2022-07-27,2000000,2000000,0
RPM00000296,LOAN0004900,2022-12-06,2022-12-05,1000000,1000000,0
RPM00000297,LOAN0004931,2023-12-21,2024-01-14,2000000,2000000,1
RPM00000298,LOAN0006911,2026-05-08,2026-05-06,2000000,2000000,0
RPM00000299,LOAN0001512,2023-02-28,2023-02-25,2000000,2000000,0
RPM00000300,LOAN0005567,2023-01-27,2023-02-13,2000000,2000000,1
RPM00000301,LOAN0003572,2024-05-19,2024-05-17,500000,500000,0
RPM00000302,LOAN0002128,2023-03-04,2023-03-01,1000000,1000000,0
RPM00000303,LOAN0007227,2023-04-06,2023-04-04,1000000,1000000,0
RPM00000304,LOAN0007158,2025-11-02,2025-10-30,2000000,2000000,0
RPM00000305,LOAN0001965,2023-03-18,2023-03-18,1000000,1000000,0
RPM00000306,LOAN0001230,2023-05-24,2023-05-22,300000,300000,0
RPM00000307,LOAN0004946,2022-12-23,2022-12-21,1000000,1000000,0
RPM00000308,LOAN0004370,2023-03-25,2023-03-24,1000000,1000000,0
RPM00000309,LOAN0004465,2024-09-30,2024-09-27,500000,500000,0
RPM00000310,LOAN0001148,2025-07-30,2025-07-29,500000,500000,0
RPM00000311,LOAN0000396,2022-11-29,2022-11-28,1000000,1000000,0
RPM00000312,LOAN0006074,2025-11-17,2025-11-16,4000000,4000000,0
RPM00000313,LOAN0004790,2024-03-20,2024-03-19,500000,500000,0
RPM00000314,LOAN0004305,2026-01-07,2026-01-12,500000,500000,1
RPM00000315,LOAN0007643,2023-05-11,2023-05-11,1000000,1000000,0
RPM00000316,LOAN0004034,2022-07-03,2022-07-03,500000,500000,0
RPM00000317,LOAN0005226,2023-06-01,2023-06-09,300000,300000,1
RPM00000318,LOAN0003778,2025-01-25,2025-01-22,300000,300000,0
RPM00000319,LOAN0006133,2025-02-14,2025-02-14,500000,230865,0
RPM00000320,LOAN0005320,2025-01-21,2025-01-18,2000000,2000000,0
RPM00000321,LOAN0006573,2023-05-02,2023-05-04,1000000,1000000,1
RPM00000322,LOAN0007341,2025-02-18,2025-02-18,300000,300000,0
RPM00000323,LOAN0004920,2025-05-21,2025-05-21,300000,300000,0
RPM00000324,LOAN0007275,2025-06-09,2025-06-22,2000000,2000000,1
RPM00000325,LOAN0001452,2022-04-04,2022-04-04,300000,300000,0
RPM00000326,LOAN0006877,2022-04-09,2022-05-04,500000,500000,1
RPM00000327,LOAN0004474,2024-09-06,2024-09-04,300000,300000,0
RPM00000328,LOAN0002923,2024-05-13,2024-05-12,2000000,2000000,0
RPM00000329,LOAN0005266,2025-03-13,2025-03-12,2000000,2000000,0
RPM00000330,LOAN0004271,2024-06-03,2024-06-22,1000000,1000000,1
RPM00000331,LOAN0005153,2024-07-29,2024-07-26,300000,300000,0
RPM00000332,LOAN0006335,2023-08-05,2023-08-04,500000,500000,0
RPM00000333,LOAN0002129,2024-05-09,2024-05-06,500000,500000,0
RPM00000334,LOAN0003537,2023-07-07,2023-07-06,4000000,4000000,0
RPM00000335,LOAN0007962,2023-08-26,2023-08-23,500000,500000,0
RPM00000336,LOAN0003394,2026-03-01,2026-02-26,300000,300000,0
RPM00000337,LOAN0000479,2025-05-24,2025-05-24,300000,300000,0
RPM00000338,LOAN0007465,2023-03-06,2023-03-04,4000000,4000000,0
RPM00000339,LOAN0001595,2024-01-28,2024-01-25,500000,500000,0
RPM00000340,LOAN0006962,2023-11-20,2023-11-20,500000,500000,0
RPM00000341,LOAN0004410,2022-10-12,2022-10-19,1000000,1000000,1
RPM00000342,LOAN0005463,2025-02-14,2025-02-12,2000000,2000000,0
RPM00000343,LOAN0003123,2025-05-23,2025-05-25,500000,500000,1
RPM00000344,LOAN0003724,2025-06-28,2025-06-27,500000,500000,0
RPM00000345,LOAN0006978,2023-07-18,2023-07-15,2000000,2000000,0
RPM00000346,LOAN0002261,2026-04-22,2026-04-20,1000000,1000000,0
RPM00000347,LOAN0003402,2024-06-19,2024-06-16,4000000,4000000,0
RPM00000348,LOAN0006475,2024-08-01,2024-08-06,1000000,1000000,1
RPM00000349,LOAN0005040,2024-10-15,2024-10-13,1000000,1000000,0
RPM00000350,LOAN0004567,2023-06-18,2023-06-15,300000,300000,0
RPM00000351,LOAN0002645,2022-03-10,2022-03-27,4000000,4000000,1
RPM00000352,LOAN0004209,2023-10-28,2023-10-28,300000,300000,0
RPM00000353,LOAN0002999,2023-06-06,2023-06-03,2000000,2000000,0
RPM00000354,LOAN0000464,2022-08-14,2022-08-12,1000000,1000000,0
RPM00000355,LOAN0002675,2022-05-05,2022-05-05,4000000,4000000,0
RPM00000356,LOAN0002201,2024-08-01,2024-07-31,500000,500000,0
RPM00000357,LOAN0005412,2025-04-02,2025-04-01,4000000,4000000,0
RPM00000358,LOAN0003970,2025-02-04,2025-02-01,1000000,1000000,0
RPM00000359,LOAN0000872,2023-06-02,2023-05-31,2000000,2000000,0
RPM00000360,LOAN0006997,2026-02-05,2026-02-02,4000000,4000000,0
RPM00000361,LOAN0001559,2026-02-05,2026-02-04,4000000,4000000,0
RPM00000362,LOAN0005431,2023-12-14,2023-12-13,300000,300000,0
RPM00000363,LOAN0004813,2023-12-19,2023-12-30,1000000,1000000,1
RPM00000364,LOAN0003171,2023-09-16,2023-09-14,1000000,1000000,0
