account_id,customer_id,account_type,balance,interest_rate,opened_at,status
ACC0000162,CUST002134,TABUNGAN,1534122,1.33,2022-07-29,ACTIVE
ACC0000163,CUST002351,TABUNGAN,2941198,1.93,2023-03-16,ACTIVE
ACC0000164,CUST001938,TABUNGAN,2047348,0.99,2025-06-08,ACTIVE
ACC0000165,CUST002756,TABUNGAN,4053008,1.77,2022-01-07,ACTIVE
ACC0000166,CUST001093,DEPOSITO,8167768,2.61,2024-01-16,ACTIVE
ACC0000167,CUST001466,DEPOSITO,3914707,4.26,2023-04-21,ACTIVE
ACC0000168,CUST000890,TABUNGAN,9768010,0.65,2022-05-08,ACTIVE
ACC0000169,CUST004966,TABUNGAN,7358763,1.95,2024-11-11,ACTIVE
ACC0000170,CUST004434,TABUNGAN,3553104,3.45,2022-10-11,ACTIVE
ACC0000171,CUST001895,DEPOSITO,2084297,2.5,2022-12-04,ACTIVE
ACC0000172,CUST004904,DEPOSITO,7388256,5.33,2023-08-03,ACTIVE
ACC0000173,CUST002787,TABUNGAN,4481469,0.77,2025-03-17,ACTIVE
ACC0000174,CUST002697,TABUNGAN,1049810,2.34,2024-11-07,ACTIVE
ACC0000175,CUST003025,TABUNGAN,5132564,2.93,2026-03-04,CLOSED
ACC0000176,CUST000335,TABUNGAN,3222865,2.4,2021-11-05,DORMANT
ACC0000177,CUST000692,TABUNGAN,2401545,2.89,2025-09-13,ACTIVE
ACC0000178,CUST001135,TABUNGAN,4116089,0.81,2024-09-16,ACTIVE
ACC0000179,CUST002853,TABUNGAN,4192587,2.99,2023-10-11,ACTIVE
ACC0000180,CUST001345,TABUNGAN,4313370,1.97,2024-10-17,ACTIVE
ACC0000181,CUST002799,DEPOSITO,10864438,4.21,2023-09-30,ACTIVE
ACC0000182,CUST003029,TABUNGAN,1292859,1.73,2023-01-23,DORMANT
ACC0000183,CUST000003,DEPOSITO,1770016,5.79,2021-11-17,ACTIVE
ACC0000184,CUST001747,TABUNGAN,1134913,2.45,2025-05-23,DORMANT
ACC0000185,CUST004424,TABUNGAN,7717692,1.1,2025-08-20,DORMANT
ACC0000186,CUST004359,TABUNGAN,9339443,0.98,2023-09-25,ACTIVE
ACC0000187,CUST002325,TABUNGAN,2381942,0.92,2023-11-12,ACTIVE
ACC0000188,CUST004255,TABUNGAN,17481982,3.22,2025-10-16,ACTIVE
ACC0000189,CUST001004,TABUNGAN,4514743,1.5,2023-07-25,ACTIVE
ACC0000190,CUST001784,TABUNGAN,10709015,0.97,2022-11-03,ACTIVE
ACC0000191,CUST001359,TABUNGAN,5629785,1.21,2024-11-30,ACTIVE
ACC0000192,CUST003714,TABUNGAN,2527195,1.34,2025-01-20,DORMANT
ACC0000193,CUST001537,TABUNGAN,13463022,1.33,2022-04-09,CLOSED
ACC0000194,CUST004847,DEPOSITO,29621220,5.8,2022-10-02,DORMANT
ACC0000195,CUST000200,TABUNGAN,2862102,1.91,2025-03-26,ACTIVE
ACC0000196,CUST004113,TABUNGAN,4474858,0.82,2022-11-30,ACTIVE
ACC0000197,CUST003855,DEPOSITO,2865235,3.13,2024-05-23,ACTIVE
ACC0000198,CUST003012,TABUNGAN,9139326,0.84,2021-11-16,ACTIVE
ACC0000199,CUST004662,DEPOSITO,8564040,5.45,2024-10-11,ACTIVE
ACC0000200,CUST000028,TABUNGAN,2808745,1.82,2021-12-29,ACTIVE
ACC0000201,CUST002061,TABUNGAN,5734995,2.88,2023-04-26,ACTIVE
ACC0000202,CUST004924,TABUNGAN,3546324,1.31,2025-11-02,DORMANT
ACC0000203,CUST000960,TABUNGAN,7115121,0.69,2021-11-26,ACTIVE
ACC0000204,CUST001683,TABUNGAN,4846426,2.89,2024-10-03,ACTIVE
ACC0000205,CUST001915,TABUNGAN,3573840,1.39,2022-01-26,ACTIVE
ACC0000206,CUST001939,DEPOSITO,2740740,3.57,2022-04-18,ACTIVE
ACC0000207,CUST001067,TABUNGAN,6615116,1.08,2023-06-18,ACTIVE
ACC0000208,CUST001393,TABUNGAN,2163928,2.5,2025-08-05,ACTIVE
ACC0000209,CUST002652,TABUNGAN,1543767,0.81,2025-02-19,DORMANT
ACC0000210,CUST002493,TABUNGAN,2519286,1.59,2022-02-09,DORMANT
ACC0000211,CUST003099,TABUNGAN,3609163,2.37,2022-12-13,ACTIVE
ACC0000212,CUST004575,DEPOSITO,123799468,3.76,2025-11-09,ACTIVE
ACC0000213,CUST004833,TABUNGAN,2527942,3.27,2022-02-03,ACTIVE
ACC0000214,CUST000023,TABUNGAN,8586855,1.99,2025-02-22,DORMANT
ACC0000215,CUST000740,DEPOSITO,33743451,4.88,2023-02-12,CLOSED
ACC0000216,CUST003223,TABUNGAN,3467772,2.62,2023-09-03,CLOSED
ACC0000217,CUST001767,DEPOSITO,1076553,5.03,2024-05-17,ACTIVE
ACC0000218,CUST004034,TABUNGAN,1783841,1.26,2023-02-08,ACTIVE
ACC0000219,CUST000003,TABUNGAN,4956855,1.59,2022-10-12,ACTIVE
ACC0000220,CUST001778,TABUNGAN,5288033,2.21,2022-10-29,ACTIVE
ACC0000221,CUST001816,TABUNGAN,6819573,2.8,2024-05-19,ACTIVE
ACC0000222,CUST004828,TABUNGAN,673172,3.21,2022-03-27,ACTIVE
ACC0000223,CUST003389,TABUNGAN,2711378,1.58,2023-05-02,ACTIVE
ACC0000224,CUST004752,TABUNGAN,234308,1.18,2024-08-08,ACTIVE
ACC0000225,CUST002340,TABUNGAN,31736132,1.81,2026-02-03,DORMANT
ACC0000226,CUST002021,TABUNGAN,2813196,2.68,2024-07-17,DORMANT
ACC0000227,CUST000684,TABUNGAN,2338075,2.43,2024-09-15,ACTIVE
ACC0000228,CUST004418,TABUNGAN,2054882,2.47,2025-03-25,ACTIVE
ACC0000229,CUST001241,DEPOSITO,3776987,3.31,2023-10-11,ACTIVE
ACC0000230,CUST003148,DEPOSITO,5510647,4.69,2023-10-03,ACTIVE
ACC0000231,CUST000687,TABUNGAN,3989520,2.53,2023-10-26,ACTIVE
ACC0000232,CUST000021,TABUNGAN,3467140,0.96,2022-03-04,ACTIVE
ACC0000233,CUST001758,TABUNGAN,1792201,1.38,2024-03-03,ACTIVE
ACC0000234,CUST000654,TABUNGAN,2622569,0.55,2026-03-07,ACTIVE
ACC0000235,CUST000213,DEPOSITO,1861570,5.38,2022-07-24,ACTIVE
ACC0000236,CUST001083,DEPOSITO,2641552,5.2,2025-02-13,ACTIVE
ACC0000237,CUST002030,DEPOSITO,9650315,5.75,2021-11-06,ACTIVE
ACC0000238,CUST001153,TABUNGAN,2826267,1.09,2021-11-21,ACTIVE
ACC0000239,CUST002109,TABUNGAN,2662696,2.45,2025-07-28,ACTIVE
ACC0000240,CUST004426,TABUNGAN,2075792,1.61,2025-12-24,ACTIVE
ACC0000241,CUST003749,TABUNGAN,6416023,2.12,2022-08-20,ACTIVE
ACC0000242,CUST004288,TABUNGAN,3186790,3.34,2023-04-22,ACTIVE
ACC0000243,CUST000861,DEPOSITO,1788886,5.96,2022-01-01,ACTIVE
ACC0000244,CUST001780,TABUNGAN,5695818,0.64,2023-04-22,ACTIVE
ACC0000245,CUST004092,TABUNGAN,12344066,2.27,2025-03-31,DORMANT
ACC0000246,CUST004824,TABUNGAN,2799933,1.96,2026-03-08,ACTIVE
ACC0000247,CUST002331,TABUNGAN,7255203,3.23,2022-06-19,ACTIVE
ACC0000248,CUST001984,TABUNGAN,2036232,3.0,2022-05-12,CLOSED
ACC0000249,CUST001755,DEPOSITO,7634783,3.17,2025-03-23,ACTIVE
ACC0000250,CUST004914,DEPOSITO,15484500,4.44,2025-12-26,ACTIVE
ACC0000251,CUST003833,DEPOSITO,603480,4.48,2022-05-17,ACTIVE
ACC0000252,CUST002514,DEPOSITO,3576954,5.29,2024-02-06,ACTIVE
ACC0000253,CUST002546,TABUNGAN,3976213,0.99,2022-04-10,ACTIVE
ACC0000254,CUST003966,TABUNGAN,9126679,2.06,2025-05-03,ACTIVE
ACC0000255,CUST002450,TABUNGAN,46704003,1.62,2023-06-11,ACTIVE
ACC0000256,CUST004601,DEPOSITO,3251342,4.2,2024-10-13,ACTIVE
ACC0000257,CUST002557,TABUNGAN,1154498,0.73,2024-01-31,ACTIVE
ACC0000258,CUST002081,TABUNGAN,7987306,3.07,2025-11-21,ACTIVE
ACC0000259,CUST003835,TABUNGAN,2740413,2.01,2023-03-17,DORMANT
ACC0000260,CUST002043,DEPOSITO,2208721,5.46,2024-08-24,ACTIVE
ACC0000261,CUST001775,TABUNGAN,1242093,2.18,2025-05-07,DORMANT
ACC0000262,CUST000421,TABUNGAN,897349,1.11,2022-01-12,DORMANT
ACC0000263,CUST003621,TABUNGAN,964451,3.28,2025-11-15,DORMANT
ACC0000264,CUST001963,DEPOSITO,4592736,4.96,2022-12-10,ACTIVE
ACC0000265,CUST003887,DEPOSITO,1071412,3.54,2024-05-02,ACTIVE
ACC0000266,CUST003160,TABUNGAN,330493,0.85,2025-04-07,ACTIVE
ACC0000267,CUST000201,TABUNGAN,13691161,2.16,2024-07-10,ACTIVE
ACC0000268,CUST003336,TABUNGAN,2059609,3.05,2022-12-21,ACTIVE
ACC0000269,CUST002024,DEPOSITO,6314767,5.02,2022-02-28,ACTIVE
ACC0000270,CUST001503,TABUNGAN,3166805,3.4,2022-09-15,ACTIVE
ACC0000271,CUST002390,TABUNGAN,9995659,2.8,2025-06-10,ACTIVE
ACC0000272,CUST001898,TABUNGAN,6863411,2.97,2023-10-24,DORMANT
ACC0000273,CUST004800,TABUNGAN,4044013,1.61,2023-09-02,ACTIVE
ACC0000274,CUST000916,TABUNGAN,6107423,3.35,2023-08-19,DORMANT
ACC0000275,CUST002064,TABUNGAN,1842432,3.19,2023-11-17,ACTIVE
ACC0000276,CUST001639,TABUNGAN,555040,3.2,2025-08-30,ACTIVE
ACC0000277,CUST003564,DEPOSITO,7666671,2.64,2023-10-31,ACTIVE
ACC0000278,CUST000377,TABUNGAN,1611558,1.75,2024-04-13,ACTIVE
ACC0000279,CUST000818,TABUNGAN,1377881,2.55,2021-07-30,ACTIVE
ACC0000280,CUST000523,TABUNGAN,1383688,0.57,2021-08-10,CLOSED
ACC0000281,CUST004938,DEPOSITO,20484648,5.64,2025-04-23,ACTIVE
ACC0000282,CUST002235,TABUNGAN,587483,1.4,2026-01-26,ACTIVE
ACC0000283,CUST003027,TABUNGAN,1729944,0.63,2022-10-09,ACTIVE
ACC0000284,CUST000609,DEPOSITO,4336846,5.53,2023-02-12,ACTIVE
ACC0000285,CUST001998,DEPOSITO,5123601,3.63,2022-03-20,ACTIVE
ACC0000286,CUST002601,DEPOSITO,1190875,5.99,2023-04-20,ACTIVE
ACC0000287,CUST002034,DEPOSITO,4585489,3.45,2022-01-28,ACTIVE
ACC0000288,CUST002404,TABUNGAN,5215837,2.93,2022-11-05,ACTIVE
ACC0000289,CUST004821,TABUNGAN,1246813,1.07,2024-12-08,ACTIVE
ACC0000290,CUST000929,TABUNGAN,1450103,2.68,2023-09-20,ACTIVE
ACC0000291,CUST002146,DEPOSITO,6165096,4.7,2023-06-01,ACTIVE
ACC0000292,CUST000956,TABUNGAN,9978391,1.79,2021-09-28,ACTIVE
ACC0000293,CUST001030,TABUNGAN,2849895,1.28,2021-07-12,DORMANT
ACC0000294,CUST000300,DEPOSITO,8476446,5.98,2022-01-23,ACTIVE
ACC0000295,CUST004821,TABUNGAN,1611131,1.91,2023-10-28,ACTIVE
ACC0000296,CUST001666,TABUNGAN,7785717,2.88,2024-05-20,ACTIVE
ACC0000297,CUST000444,TABUNGAN,5740046,1.38,2024-08-19,ACTIVE
ACC0000298,CUST001328,TABUNGAN,4768201,2.12,2024-02-20,ACTIVE
ACC0000299,CUST003876,TABUNGAN,33857009,0.63,2023-09-18,ACTIVE
ACC0000300,CUST002855,TABUNGAN,1922271,0.84,2025-02-01,ACTIVE
ACC0000301,CUST001837,TABUNGAN,1629594,1.64,2024-11-21,ACTIVE
ACC0000302,CUST001716,TABUNGAN,2727493,3.34,2023-02-20,ACTIVE
ACC0000303,CUST000069,TABUNGAN,11775418,2.15,2022-12-17,ACTIVE
ACC0000304,CUST001518,TABUNGAN,6118849,1.46,2025-03-13,ACTIVE
ACC0000305,CUST001059,TABUNGAN,2773191,3.49,2022-11-25,ACTIVE
ACC0000306,CUST002761,TABUNGAN,30503507,2.9,2025-03-19,ACTIVE
ACC0000307,CUST001922,DEPOSITO,14742734,5.49,2023-06-21,ACTIVE
ACC0000308,CUST001584,TABUNGAN,2337663,0.63,2025-01-13,ACTIVE
ACC0000309,CUST001559,TABUNGAN,466839,0.98,2022-09-28,ACTIVE
ACC0000310,CUST004865,DEPOSITO,970378,4.94,2024-08-13,ACTIVE
ACC0000311,CUST003043,TABUNGAN,16239854,2.43,2023-02-15,ACTIVE
ACC0000312,CUST001238,DEPOSITO,5882682,3.06,2023-09-15,ACTIVE
ACC0000313,CUST000978,TABUNGAN,4056274,0.94,2025-03-29,CLOSED
ACC0000314,CUST002307,TABUNGAN,455720,2.32,2023-07-10,ACTIVE
ACC0000315,CUST004675,TABUNGAN,3078421,1.06,2023-03-12,DORMANT
ACC0000316,CUST001982,TABUNGAN,4006095,0.78,2022-01-30,CLOSED
ACC0000317,CUST004580,TABUNGAN,795618,3.33,2023-01-18,ACTIVE
ACC0000318,CUST003746,TABUNGAN,20731247,2.32,2024-11-01,ACTIVE
ACC0000319,CUST004655,TABUNGAN,5793555,1.44,2022-02-25,DORMANT
ACC0000320,CUST003086,TABUNGAN,4778978,2.12,2024-11-05,ACTIVE
ACC0000321,CUST001473,TABUNGAN,5890738,3.05,2021-10-25,ACTIVE
ACC0000322,CUST002205,TABUNGAN,1465611,1.64,2024-07-28,ACTIVE
ACC0000323,CUST000184,TABUNGAN,1095900,1.39,2023-08-31,ACTIVE
ACC0000324,CUST000913,TABUNGAN,6769223,2.82,2024-06-22,ACTIVE
ACC0000325,CUST001319,TABUNGAN,870262,2.83,2023-07-19,ACTIVE
ACC0000326,CUST003299,TABUNGAN,1245072,2.93,2024-03-11,ACTIVE
